,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Terry Rozier,39:14,.852,.818,.545,.273,3.0,15.3,7.5,36.4,1.3,0.0,0.0,29.7,176,147,19.4
1,Miles Bridges,37:22,.326,.281,.438,.125,0.0,37.5,13.8,19.8,1.4,0.0,15.1,25.2,77,145,-16.6
2,Brandon Miller,31:25,.625,.625,.625,.000,3.7,0.0,2.4,13.8,1.7,3.5,0.0,24.1,129,146,0.4
3,Nick Richards,31:01,.750,.750,.000,.000,3.8,6.4,4.8,0.0,0.0,0.0,0.0,6.1,155,152,-13.3
4,Bryce McGowens,21:12,.500,.500,.250,.000,0.0,9.4,3.5,17.2,0.0,0.0,0.0,8.9,132,151,-9.1
5,player,,,,,,,,,,,,,,,,
6,P.J. Washington,27:37,.542,.542,.667,.000,4.2,21.7,10.7,19.7,0.0,4.0,7.7,22.3,115,147,-5.2
7,Cody Martin,26:34,.650,.650,.400,.000,13.2,7.5,11.1,5.2,4.0,4.1,9.1,19.6,127,139,1.4
8,Nick Smith Jr.,13:00,.714,.714,.571,.000,9.0,15.4,11.4,12.6,0.0,0.0,12.5,29.1,121,151,-1.8
9,Ish Smith,12:35,.000,.000,.000,.000,0.0,15.9,5.9,52.0,0.0,0.0,0.0,3.8,173,151,-3.4
10,James Bouknight,Did Not Play,,,,,,,,,,,,,,,
11,Nathan Mensah,Did Not Play,,,,,,,,,,,,,,,
12,JT Thor,Did Not Play,,,,,,,,,,,,,,,
