,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Jamal Murray,36:48,.686,.733,.667,.267,0.0,10.6,4.7,34.4,1.4,2.2,10.7,23.1,129,114,9.9,Philadelphia76ers,Denver Nuggets,2024-01-27
1,Nikola Jokić,36:40,.564,.500,.063,1.000,14.2,38.9,25.2,34.5,2.9,0.0,11.5,32.2,122,109,8.3,Philadelphia76ers,Denver Nuggets,2024-01-27
2,Michael Porter Jr.,35:08,.526,.526,.632,.000,8.9,18.5,13.2,10.5,0.0,0.0,5.0,25.8,112,118,-1.5,Philadelphia76ers,Denver Nuggets,2024-01-27
3,Kentavious Caldwell-Pope,32:56,.410,.250,.375,.500,0.0,3.9,1.8,8.6,0.0,0.0,0.0,13.5,105,120,-10.7,Philadelphia76ers,Denver Nuggets,2024-01-27
4,Aaron Gordon,31:04,.846,.875,.375,.750,6.7,8.4,7.4,11.1,1.7,0.0,8.6,17.0,157,116,7.7,Philadelphia76ers,Denver Nuggets,2024-01-27
6,Peyton Watson,20:51,.467,.429,.429,.857,0.0,18.7,8.3,23.0,2.5,3.9,0.0,21.0,113,109,2.6,Philadelphia76ers,Denver Nuggets,2024-01-27
7,Reggie Jackson,18:17,.250,.250,.667,.000,0.0,21.3,9.5,0.0,0.0,0.0,0.0,14.9,58,118,-14.7,Philadelphia76ers,Denver Nuggets,2024-01-27
8,Christian Braun,16:56,.347,.000,.500,1.000,0.0,0.0,0.0,15.3,0.0,0.0,0.0,7.7,114,120,-8.0,Philadelphia76ers,Denver Nuggets,2024-01-27
9,DeAndre Jordan,11:20,1.000,1.000,.000,.000,27.6,34.3,30.6,0.0,0.0,7.2,0.0,4.0,214,109,-0.1,Philadelphia76ers,Denver Nuggets,2024-01-27
10,Justin Holiday,0:0,Philadelphia76ers,Denver Nuggets,2024-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Jay Huff,0:0,Philadelphia76ers,Denver Nuggets,2024-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Zeke Nnaji,0:0,Philadelphia76ers,Denver Nuggets,2024-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Jalen Pickett,0:0,Philadelphia76ers,Denver Nuggets,2024-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Hunter Tyson,0:0,Philadelphia76ers,Denver Nuggets,2024-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
