,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Dyson Daniels,31:26,.708,.708,.500,.000,6.5,21.8,14.3,16.8,0.0,0.0,20.0,19.1,121,129,0.0
1,Brandon Ingram,30:51,.533,.559,.176,.235,0.0,15.9,8.1,23.6,0.0,0.0,5.1,25.7,114,130,-3.2
2,Jordan Hawkins,27:34,.360,.308,.692,.154,0.0,7.1,3.6,8.3,0.0,0.0,12.6,23.1,77,131,-14.1
3,Zion Williamson,26:44,.620,.636,.000,.727,3.8,3.7,3.7,20.9,1.7,0.0,29.2,30.8,94,128,-7.8
4,Jonas Valančiūnas,20:51,.682,.682,.455,.000,9.8,37.6,24.0,20.8,0.0,9.4,0.0,21.2,151,119,14.4
5,player,,,,,,,,,,,,,,,,
6,Matt Ryan,27:06,1.000,1.000,.857,.000,11.3,10.8,11.1,9.3,0.0,0.0,0.0,10.4,200,131,7.3
7,Jeremiah Robinson-Earl,25:46,.688,.688,.625,.000,4.0,19.0,11.6,4.7,1.8,0.0,11.1,14.0,125,125,0.4
8,Naji Marshall,13:51,.926,.833,.333,1.000,7.4,7.1,7.2,17.3,0.0,0.0,31.6,18.3,136,131,0.9
9,Cody Zeller,13:20,.521,.500,.000,1.000,7.7,29.4,18.8,16.6,0.0,0.0,25.8,11.7,110,127,-2.5
10,Dereon Seabron,8:05,.798,1.000,.000,2.000,0.0,36.4,18.6,28.9,0.0,12.1,0.0,9.3,181,117,9.7
11,Kira Lewis Jr.,7:35,.460,.400,.000,.200,13.5,0.0,6.6,73.7,0.0,0.0,15.5,34.1,118,133,0.4
12,Larry Nance Jr.,6:51,.000,.000,.500,.000,14.9,28.6,21.9,0.0,0.0,0.0,33.3,17.6,26,127,-24.8
