,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jerami Grant,32:21,.959,.962,.462,.462,0.0,8.0,3.7,18.5,1.6,3.1,11.3,23.5,167,114,15.7
1,Shaedon Sharpe,30:39,.636,.636,.364,.000,0.0,16.9,7.7,16.7,1.7,3.3,8.3,16.8,131,110,0.6
2,Toumani Camara,27:54,.676,.625,.500,.250,11.7,18.6,14.9,12.9,0.0,3.6,18.4,16.8,131,113,0.8
3,Malcolm Brogdon,23:52,.608,.594,.313,.063,4.6,16.3,9.9,55.7,2.1,0.0,0.0,29.6,150,111,13.0
4,Duop Reath,20:11,.800,.800,.800,.000,0.0,25.7,11.7,6.0,0.0,5.0,16.7,12.8,129,110,-0.6
5,player,,,,,,,,,,,,,,,,
6,Matisse Thybulle,31:38,.689,.722,.667,.111,3.4,0.0,1.9,7.7,4.8,6.3,24.1,16.9,105,108,3.4
7,Jabari Walker,27:57,.598,.600,.200,.133,23.4,18.6,21.2,10.3,3.6,0.0,5.9,26.0,134,106,1.8
8,Kris Murray,17:20,.184,.200,.600,.200,12.6,0.0,6.8,0.0,2.9,0.0,0.0,13.5,70,115,-12.7
9,Scoot Henderson,16:40,.190,.143,.429,.286,6.5,15.6,10.7,45.7,0.0,0.0,27.6,28.1,76,116,-20.4
10,Skylar Mays,5:44,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0,122,-19.6
11,Rayan Rupert,5:44,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0,122,-25.7
12,Deandre Ayton,Did Not Play,,,,,,,,,,,,,,,
13,Moses Brown,Did Not Play,,,,,,,,,,,,,,,
