,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Giannis Antetokounmpo,35:15,.607,.574,.259,.222,5.8,29.0,17.4,16.0,1.3,4.9,9.2,38.1,118,117,6.2,Milwaukee Bucks,Brooklyn Nets,2023-11-06
1,Damian Lillard,34:13,.541,.400,.533,.667,6.0,11.9,9.0,25.2,1.4,0.0,4.9,24.6,131,124,1.4,Milwaukee Bucks,Brooklyn Nets,2023-11-06
2,Brook Lopez,27:08,.333,.333,.500,.000,15.1,11.3,13.2,8.3,0.0,0.0,0.0,9.1,121,128,-7.8,Milwaukee Bucks,Brooklyn Nets,2023-11-06
3,Khris Middleton,21:11,.689,.650,.400,.200,0.0,14.5,7.2,28.0,0.0,0.0,0.0,21.2,154,127,5.3,Milwaukee Bucks,Brooklyn Nets,2023-11-06
4,Malik Beasley,14:00,.300,.300,1.000,.000,0.0,43.8,21.9,0.0,0.0,0.0,16.7,17.6,53,119,-16.6,Milwaukee Bucks,Brooklyn Nets,2023-11-06
6,Jae Crowder,30:18,.689,.700,.900,.200,6.7,10.1,8.4,0.0,1.6,0.0,15.5,17.5,118,125,-0.8,Milwaukee Bucks,Brooklyn Nets,2023-11-06
7,Bobby Portis,25:47,.564,.438,.250,.500,0.0,23.8,11.9,9.2,3.7,0.0,9.3,17.2,117,116,-0.3,Milwaukee Bucks,Brooklyn Nets,2023-11-06
8,Pat Connaughton,19:29,.714,.714,.714,.000,5.2,0.0,2.6,20.4,0.0,0.0,12.5,16.9,138,131,2.4,Milwaukee Bucks,Brooklyn Nets,2023-11-06
9,Cameron Payne,16:21,.917,.917,.667,.000,0.0,6.2,3.1,25.7,0.0,0.0,0.0,15.1,189,129,10.4,Milwaukee Bucks,Brooklyn Nets,2023-11-06
10,MarJon Beauchamp,16:17,.750,.750,.500,.000,6.3,0.0,3.1,13.7,2.9,0.0,33.3,7.6,128,124,1.9,Milwaukee Bucks,Brooklyn Nets,2023-11-06
11,Thanasis Antetokounmpo,0:0,Milwaukee Bucks,Brooklyn Nets,2023-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,A.J. Green,0:0,Milwaukee Bucks,Brooklyn Nets,2023-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Andre Jackson Jr.,0:0,Milwaukee Bucks,Brooklyn Nets,2023-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Chris Livingston,0:0,Milwaukee Bucks,Brooklyn Nets,2023-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Robin Lopez,0:0,Milwaukee Bucks,Brooklyn Nets,2023-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
