,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Jaime Jaquez Jr.,38:41,7,15,.467,2,5,.400,1,2,.500,1,4,5,6,1,0,2,2,17,+8,Miami Heat,Golden State Warriors,2023-12-28
1,Bam Adebayo,35:30,7,13,.538,0,0,,3,4,.750,2,9,11,4,0,0,0,2,17,+8,Miami Heat,Golden State Warriors,2023-12-28
2,Tyler Herro,30:50,10,18,.556,3,7,.429,3,4,.750,0,7,7,2,1,0,2,0,26,+11,Miami Heat,Golden State Warriors,2023-12-28
3,R.J. Hampton,24:53,3,6,.500,0,2,.000,1,2,.500,2,0,2,3,0,0,1,3,7,+8,Miami Heat,Golden State Warriors,2023-12-28
4,Haywood Highsmith,18:16,1,3,.333,1,2,.500,0,0,,0,0,0,0,1,0,0,4,3,+4,Miami Heat,Golden State Warriors,2023-12-28
6,Duncan Robinson,29:51,2,11,.182,1,6,.167,0,0,,1,1,2,4,0,0,0,3,5,+5,Miami Heat,Golden State Warriors,2023-12-28
7,Jamal Cain,28:28,7,14,.500,2,5,.400,2,2,1.000,1,5,6,0,2,0,1,1,18,+7,Miami Heat,Golden State Warriors,2023-12-28
8,Nikola Jović,19:32,4,5,.800,0,1,.000,3,5,.600,2,1,3,3,1,1,0,3,11,+10,Miami Heat,Golden State Warriors,2023-12-28
9,Kevin Love,12:53,2,5,.400,1,3,.333,3,3,1.000,0,7,7,4,0,0,1,1,8,+2,Miami Heat,Golden State Warriors,2023-12-28
10,Cole Swider,1:06,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,-3,Miami Heat,Golden State Warriors,2023-12-28
11,Thomas Bryant,0:0,Miami Heat,Golden State Warriors,2023-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Josh Richardson,Did Not Dress,Miami Heat,Golden State Warriors,2023-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
