,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Rudy Gobert,32:23,0,7,.000,0,0,,4,4,1.000,2,10,12,1,1,2,1,3,4,+15
1,Anthony Edwards,31:50,8,16,.500,1,4,.250,7,8,.875,0,2,2,1,2,0,4,1,24,+11
2,Karl-Anthony Towns,30:50,7,19,.368,1,4,.250,6,6,1.000,2,6,8,4,2,0,1,2,21,+22
3,Mike Conley,27:17,7,9,.778,3,4,.750,0,0,,0,3,3,6,1,0,0,1,17,+19
4,Jaden McDaniels,21:20,3,5,.600,0,1,.000,0,0,,3,6,9,2,0,2,4,5,6,+19
5,player,,,,,,,,,,,,,,,,,,,,
6,Kyle Anderson,25:17,4,6,.667,1,1,1.000,0,0,,0,3,3,2,0,0,0,0,9,-1
7,Nickeil Alexander-Walker,20:43,2,6,.333,1,2,.500,0,0,,0,0,0,1,0,1,0,2,5,+2
8,Naz Reid,19:19,6,9,.667,1,3,.333,3,3,1.000,1,4,5,1,1,0,1,0,16,+4
9,Shake Milton,17:58,0,3,.000,0,0,,2,2,1.000,0,1,1,1,2,0,1,1,2,+10
10,Troy Brown Jr.,5:13,0,1,.000,0,1,.000,4,4,1.000,0,4,4,1,0,0,1,0,4,0
11,Jordan McLaughlin,4:12,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+2
12,Josh Minott,3:38,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+2
