,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,OG Anunoby,36:49,5,11,.455,0,3,.000,4,4,1.000,0,7,7,1,1,3,1,2,14,+20
1,Jalen Brunson,35:07,13,23,.565,5,11,.455,7,7,1.000,1,4,5,9,1,0,3,3,38,+22
2,Julius Randle,32:24,7,13,.538,3,7,.429,1,2,.500,7,9,16,10,0,0,7,3,18,+16
3,Isaiah Hartenstein,23:04,0,1,.000,0,0,,1,2,.500,0,4,4,1,0,0,0,2,1,+13
4,Donte DiVincenzo,20:29,7,12,.583,2,7,.286,1,3,.333,1,2,3,1,1,0,0,1,17,+5
5,player,,,,,,,,,,,,,,,,,,,,
6,Josh Hart,26:28,3,5,.600,2,3,.667,2,2,1.000,1,8,9,1,0,1,3,1,10,+20
7,Precious Achiuwa,24:56,9,10,.900,0,0,,0,0,,4,7,11,0,0,1,3,4,18,+13
8,Quentin Grimes,19:44,2,8,.250,0,4,.000,0,0,,1,3,4,1,1,1,1,3,4,+8
9,Miles McBride,12:53,1,4,.250,1,3,.333,0,0,,0,0,0,1,0,0,2,1,3,+4
10,Malachi Flynn,2:42,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,1,0,3,+3
11,Ryan Arcidiacono,2:42,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+3
12,Jericho Sims,2:42,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,+3
13,Evan Fournier,Did Not Play,,,,,,,,,,,,,,,,,,,
