,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Stephen Curry,31:25,6,16,.375,6,14,.429,6,6,1.000,1,6,7,6,0,1,1,1,24,-2,Golden State Warriors,Houston Rockets,2023-10-29
1,Klay Thompson,29:15,7,12,.583,5,10,.500,0,0,,1,3,4,0,0,1,1,3,19,-2,Golden State Warriors,Houston Rockets,2023-10-29
2,Andrew Wiggins,28:12,4,10,.400,1,3,.333,4,5,.800,0,0,0,0,0,0,2,2,13,-4,Golden State Warriors,Houston Rockets,2023-10-29
3,Kevon Looney,26:50,2,3,.667,0,0,,1,2,.500,2,9,11,1,1,1,1,2,5,+5,Golden State Warriors,Houston Rockets,2023-10-29
4,Draymond Green,20:43,2,4,.500,0,0,,0,1,.000,1,4,5,5,0,0,4,3,4,+2,Golden State Warriors,Houston Rockets,2023-10-29
6,Chris Paul,27:25,3,8,.375,0,3,.000,2,2,1.000,0,5,5,7,1,0,1,1,8,+22,Golden State Warriors,Houston Rockets,2023-10-29
7,Dario Šarić,21:10,1,6,.167,1,3,.333,1,2,.500,3,5,8,5,0,1,1,0,4,+6,Golden State Warriors,Houston Rockets,2023-10-29
8,Jonathan Kuminga,18:48,3,8,.375,1,3,.333,2,3,.667,0,2,2,1,1,0,3,4,9,+4,Golden State Warriors,Houston Rockets,2023-10-29
9,Gary Payton II,18:44,6,8,.750,3,4,.750,0,0,,0,4,4,1,3,1,0,1,15,+13,Golden State Warriors,Houston Rockets,2023-10-29
10,Moses Moody,17:28,1,6,.167,1,5,.200,2,2,1.000,0,3,3,1,0,1,0,1,5,+11,Golden State Warriors,Houston Rockets,2023-10-29
11,Trayce Jackson-Davis,0:0,Golden State Warriors,Houston Rockets,2023-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Cory Joseph,0:0,Golden State Warriors,Houston Rockets,2023-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Brandin Podziemski,0:0,Golden State Warriors,Houston Rockets,2023-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
