,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Paolo Banchero,37:52,6,21,.286,1,8,.125,6,7,.857,0,9,9,4,1,1,1,0,19,-18
1,Franz Wagner,36:10,8,16,.500,1,5,.200,7,8,.875,0,5,5,3,1,0,4,4,24,-22
2,Jalen Suggs,28:23,8,12,.667,1,2,.500,3,3,1.000,1,1,2,1,1,1,3,5,20,-17
3,Anthony Black,23:27,1,6,.167,1,3,.333,0,0,,1,3,4,4,1,1,0,2,3,-3
4,Wendell Carter Jr.,22:09,1,4,.250,0,2,.000,2,2,1.000,2,2,4,1,0,2,1,0,4,-8
5,player,,,,,,,,,,,,,,,,,,,,
6,Caleb Houstan,25:56,2,4,.500,2,4,.500,1,1,1.000,2,4,6,2,0,0,2,2,7,-10
7,Cole Anthony,23:11,2,7,.286,1,4,.250,0,1,.000,2,4,6,1,0,1,4,1,5,-14
8,Moritz Wagner,15:47,0,3,.000,0,1,.000,2,2,1.000,0,2,2,1,0,0,1,2,2,-2
9,Chuma Okeke,14:31,1,3,.333,1,2,.500,0,0,,1,3,4,0,0,1,0,2,3,-2
10,Goga Bitadze,8:49,1,1,1.000,0,0,,0,0,,0,1,1,0,0,4,0,0,2,-13
11,Jett Howard,1:15,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+3
12,Trevelin Queen,1:15,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,+3
13,Admiral Schofield,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3
