,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Jayson Tatum,37:28,7,19,.368,1,6,.167,4,4,1.000,0,14,14,6,1,1,1,2,19,+8,Boston Celtics,Toronto Raptors,2024-01-15
1,Derrick White,37:00,7,18,.389,5,11,.455,3,3,1.000,0,2,2,1,0,0,3,1,22,-8,Boston Celtics,Toronto Raptors,2024-01-15
2,Al Horford,35:10,4,10,.400,2,4,.500,0,0,,2,9,11,2,1,0,1,3,10,+1,Boston Celtics,Toronto Raptors,2024-01-15
3,Jrue Holiday,33:56,7,14,.500,4,6,.667,4,4,1.000,1,5,6,7,1,2,1,2,22,+4,Boston Celtics,Toronto Raptors,2024-01-15
4,Kristaps Porziņģis,31:53,2,6,.333,1,4,.250,10,12,.833,0,6,6,2,0,2,6,4,15,+2,Boston Celtics,Toronto Raptors,2024-01-15
6,Payton Pritchard,23:44,1,7,.143,1,6,.167,0,0,,0,3,3,2,0,0,0,2,3,+16,Boston Celtics,Toronto Raptors,2024-01-15
7,Luke Kornet,17:52,2,2,1.000,0,0,,0,0,,0,3,3,0,0,1,0,1,4,+12,Boston Celtics,Toronto Raptors,2024-01-15
8,Sam Hauser,16:11,1,2,.500,1,1,1.000,0,0,,0,5,5,0,0,1,0,0,3,+5,Boston Celtics,Toronto Raptors,2024-01-15
9,Oshae Brissett,6:45,2,4,.500,1,1,1.000,2,2,1.000,2,1,3,0,0,0,0,1,7,+5,Boston Celtics,Toronto Raptors,2024-01-15
10,Dalano Banton,0:0,Boston Celtics,Toronto Raptors,2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Svi Mykhailiuk,0:0,Boston Celtics,Toronto Raptors,2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Neemias Queta,0:0,Boston Celtics,Toronto Raptors,2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Lamar Stevens,0:0,Boston Celtics,Toronto Raptors,2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
