,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Coby White,41:40,7,19,.368,1,9,.111,0,1,.000,0,5,5,9,1,0,3,1,15,+7,Chicago Bulls,Portland Trail Blazers,2024-01-28
1,DeMar DeRozan,40:11,8,14,.571,1,2,.500,3,3,1.000,0,7,7,6,1,0,0,2,20,+11,Chicago Bulls,Portland Trail Blazers,2024-01-28
2,Nikola Vučević,33:31,6,14,.429,0,4,.000,2,2,1.000,0,7,7,3,0,3,0,2,14,+4,Chicago Bulls,Portland Trail Blazers,2024-01-28
3,Ayo Dosunmu,32:58,5,12,.417,1,4,.250,0,0,,0,5,5,3,0,3,1,1,11,+1,Chicago Bulls,Portland Trail Blazers,2024-01-28
4,Alex Caruso,32:11,3,7,.429,2,5,.400,1,2,.500,0,5,5,3,1,1,0,5,9,+5,Chicago Bulls,Portland Trail Blazers,2024-01-28
6,Julian Phillips,23:26,4,7,.571,1,3,.333,2,4,.500,1,1,2,1,0,1,0,3,11,+4,Chicago Bulls,Portland Trail Blazers,2024-01-28
7,Andre Drummond,17:09,6,11,.545,0,0,,3,3,1.000,4,3,7,0,1,1,0,3,15,+3,Chicago Bulls,Portland Trail Blazers,2024-01-28
8,Jevon Carter,10:44,2,4,.500,2,4,.500,0,0,,0,2,2,0,1,1,0,0,6,+4,Chicago Bulls,Portland Trail Blazers,2024-01-28
9,Dalen Terry,8:10,1,2,.500,0,1,.000,1,2,.500,0,0,0,2,2,0,0,2,3,+1,Chicago Bulls,Portland Trail Blazers,2024-01-28
10,Torrey Craig,Did Not Dress,Chicago Bulls,Portland Trail Blazers,2024-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Terry Taylor,0:0,Chicago Bulls,Portland Trail Blazers,2024-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Patrick Williams,Did Not Dress,Chicago Bulls,Portland Trail Blazers,2024-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
