,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Scottie Barnes,37:43,.621,.500,.200,.533,5.1,13.8,9.3,15.4,0.0,5.6,0.0,21.2,146,111,7.4,Phoenix Suns,Toronto Raptors,2023-11-29
1,Pascal Siakam,36:05,.493,.452,.238,.143,8.0,17.4,12.5,13.3,1.4,0.0,11.8,30.3,102,111,-3.6,Phoenix Suns,Toronto Raptors,2023-11-29
2,Dennis Schröder,33:41,.350,.318,.182,.091,2.9,15.5,8.9,45.3,1.5,0.0,0.0,14.7,122,112,1.8,Phoenix Suns,Toronto Raptors,2023-11-29
3,OG Anunoby,33:31,.623,.650,.500,.100,0.0,9.3,4.5,4.1,4.5,2.1,0.0,13.4,129,106,4.8,Phoenix Suns,Toronto Raptors,2023-11-29
4,Jakob Poeltl,29:42,.860,.889,.000,.222,6.5,7.0,6.7,5.6,0.0,2.4,16.8,17.3,138,116,1.3,Phoenix Suns,Toronto Raptors,2023-11-29
6,Gary Trent Jr.,25:09,.500,.500,.538,.000,0.0,20.7,9.9,11.8,0.0,0.0,0.0,22.3,113,113,-1.2,Phoenix Suns,Toronto Raptors,2023-11-29
7,Precious Achiuwa,18:17,.595,.550,.100,.400,31.5,22.8,27.3,9.1,5.5,0.0,7.8,30.1,132,100,9.7,Phoenix Suns,Toronto Raptors,2023-11-29
8,Malachi Flynn,14:18,.258,.000,1.000,.667,6.7,29.2,17.5,8.0,0.0,0.0,20.5,14.7,70,110,-10.9,Phoenix Suns,Toronto Raptors,2023-11-29
9,Jalen McDaniels,8:34,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,66.7,15.1,0,121,-27.3,Phoenix Suns,Toronto Raptors,2023-11-29
10,Chris Boucher,2:57,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,121,-8.1,Phoenix Suns,Toronto Raptors,2023-11-29
11,Gradey Dick,0:0,Phoenix Suns,Toronto Raptors,2023-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Otto Porter Jr.,0:0,Phoenix Suns,Toronto Raptors,2023-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Garrett Temple,0:0,Phoenix Suns,Toronto Raptors,2023-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Thaddeus Young,0:0,Phoenix Suns,Toronto Raptors,2023-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
