,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,D'Angelo Russell,33:56,14,21,.667,6,11,.545,0,0,,1,0,1,8,0,2,0,2,34,+29
1,LeBron James,31:00,8,16,.500,3,8,.375,9,10,.900,0,5,5,5,0,0,3,2,28,+28
2,Anthony Davis,26:22,4,7,.571,0,1,.000,6,6,1.000,3,11,14,3,0,0,0,0,14,+3
3,Austin Reaves,25:36,5,10,.500,3,4,.750,2,2,1.000,1,3,4,2,1,0,1,1,15,+4
4,Rui Hachimura,22:48,2,7,.286,1,3,.333,4,5,.800,1,1,2,2,1,0,1,2,9,+15
5,player,,,,,,,,,,,,,,,,,,,,
6,Max Christie,22:12,1,7,.143,0,3,.000,2,2,1.000,0,1,1,2,0,1,2,3,4,-1
7,Jarred Vanderbilt,21:06,2,3,.667,0,0,,0,0,,2,2,4,2,2,0,3,1,4,+8
8,Cam Reddish,21:04,5,8,.625,0,2,.000,0,0,,0,4,4,1,2,0,0,2,10,+10
9,Christian Wood,17:32,2,3,.667,0,1,.000,0,0,,1,5,6,2,2,3,0,2,4,+20
10,Jalen Hood-Schifino,6:06,1,1,1.000,0,0,,2,2,1.000,0,1,1,1,1,0,1,0,4,+1
11,Colin Castleton,4:06,1,1,1.000,0,0,,2,2,1.000,1,1,2,0,0,0,1,1,4,+1
12,Jaxson Hayes,4:06,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,2,4,+1
13,Maxwell Lewis,4:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
