,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Shai Gilgeous-Alexander,36:03,11,22,.500,2,3,.667,4,5,.800,1,3,4,7,1,1,2,1,28,-3
1,Jalen Williams,35:19,10,18,.556,3,6,.500,3,4,.750,1,4,5,5,1,0,2,0,26,-4
2,Chet Holmgren,30:50,8,13,.615,4,6,.667,2,4,.500,3,5,8,3,3,4,1,3,22,-5
3,Luguentz Dort,30:18,3,8,.375,2,5,.400,2,3,.667,0,1,1,1,1,1,0,5,10,-12
4,Josh Giddey,26:10,3,8,.375,2,4,.500,0,0,,0,3,3,2,0,1,1,3,8,-5
5,player,,,,,,,,,,,,,,,,,,,,
6,Aaron Wiggins,17:29,3,5,.600,2,3,.667,1,2,.500,2,2,4,1,0,0,0,0,9,-11
7,Cason Wallace,15:37,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,-1
8,Kenrich Williams,13:23,0,4,.000,0,2,.000,0,0,,1,0,1,2,1,0,1,2,0,+1
9,Jaylin Williams,13:16,1,6,.167,1,3,.333,0,0,,1,2,3,3,1,1,1,1,3,-4
10,Vasilije Micić,10:37,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,3,0,0,-2
11,Ousmane Dieng,10:30,3,3,1.000,2,2,1.000,0,0,,0,2,2,1,1,1,0,0,8,+9
12,Lindy Waters III,0:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
13,Tre Mann,Did Not Play,,,,,,,,,,,,,,,,,,,
14,Aleksej Pokusevski,Did Not Play,,,,,,,,,,,,,,,,,,,
