,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Ja Morant,37:12,7,19,.368,0,7,.000,5,6,.833,0,6,6,10,0,0,3,4,19,-19
1,Jaren Jackson Jr.,37:00,8,17,.471,4,6,.667,2,2,1.000,0,2,2,4,2,2,1,5,22,-11
2,Desmond Bane,36:57,7,11,.636,2,5,.400,2,2,1.000,0,7,7,5,2,0,2,3,18,-5
3,Marcus Smart,31:36,7,14,.500,4,11,.364,4,4,1.000,0,2,2,2,3,0,2,0,22,-6
4,Bismack Biyombo,7:47,1,2,.500,0,0,,0,0,,0,2,2,0,1,0,1,1,2,-4
5,player,,,,,,,,,,,,,,,,,,,,
6,Santi Aldama,22:28,5,7,.714,2,3,.667,0,0,,1,4,5,1,1,0,0,1,12,+1
7,Vince Williams Jr.,22:13,1,6,.167,1,4,.250,2,3,.667,0,1,1,5,0,1,1,3,5,-1
8,David Roddy,22:09,1,3,.333,0,1,.000,2,3,.667,0,2,2,1,0,0,1,1,4,+7
9,Xavier Tillman Sr.,16:41,1,5,.200,0,1,.000,0,0,,2,2,4,0,1,1,1,3,2,-14
10,Ziaire Williams,5:57,0,3,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,1,0,-3
11,Jacob Gilyard,Did Not Play,,,,,,,,,,,,,,,,,,,
12,John Konchar,Did Not Play,,,,,,,,,,,,,,,,,,,
