,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jamal Murray,32:12,.385,.344,.250,.313,5.8,15.3,9.9,29.3,1.5,2.4,14.2,27.4,83,113,-1.4
1,Nikola Jokić,29:58,.523,.500,.261,.087,6.3,32.9,17.8,23.6,0.0,0.0,17.3,40.1,90,114,4.0
2,Kentavious Caldwell-Pope,26:22,.676,.625,.250,.250,0.0,0.0,0.0,0.0,1.8,2.9,18.4,8.6,106,115,-3.1
3,Michael Porter Jr.,25:04,.219,.182,.455,.091,7.5,14.7,10.6,5.6,1.9,3.1,0.0,19.0,62,111,-7.1
4,Aaron Gordon,18:27,.667,.667,.333,.000,5.1,6.7,5.8,15.9,0.0,4.2,40.0,11.3,89,116,-6.4
5,player,,,,,,,,,,,,,,,,
6,Christian Braun,20:10,.500,.500,.125,.000,14.0,36.6,23.8,16.7,0.0,3.8,11.1,18.6,105,110,1.6
7,Reggie Jackson,18:36,.250,.250,.250,.000,0.0,0.0,0.0,36.4,5.2,4.2,20.0,11.2,77,106,3.3
8,Zeke Nnaji,17:41,.500,.500,.333,.000,10.6,20.9,15.1,0.0,0.0,8.8,0.0,21.2,107,109,1.7
9,Julian Strawther,15:37,.336,.357,.857,.143,0.0,0.0,0.0,0.0,3.1,9.9,0.0,19.8,71,106,1.5
10,Peyton Watson,15:31,.667,.667,.333,.000,0.0,15.9,6.9,9.7,0.0,0.0,40.0,13.4,76,118,-9.0
11,Justin Holiday,5:44,.750,.750,1.000,.000,0.0,21.5,9.3,0.0,0.0,0.0,0.0,14.5,141,117,6.1
12,Braxton Key,5:13,.000,.000,.000,.000,0.0,0.0,0.0,72.6,0.0,0.0,0.0,15.9,62,121,-6.1
13,Jalen Pickett,5:13,.500,.500,.500,.000,0.0,47.2,20.4,0.0,0.0,0.0,0.0,15.9,100,111,-6.3
14,Hunter Tyson,4:12,.500,.500,.500,.000,0.0,29.3,12.7,0.0,0.0,0.0,0.0,19.8,99,115,-10.2
15,DeAndre Jordan,Did Not Play,,,,,,,,,,,,,,,
