,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Mikal Bridges,34:39,.715,.727,.727,.182,0.0,3.2,1.6,16.6,2.8,0.0,14.4,17.6,128,115,2.8
1,Spencer Dinwiddie,33:03,.720,.636,.727,.455,0.0,10.1,5.1,13.6,1.4,0.0,7.0,18.9,143,116,2.2
2,Nic Claxton,32:43,.688,.688,.000,.000,7.0,40.9,24.2,4.3,1.5,5.1,0.0,21.5,141,104,3.7
3,Dorian Finney-Smith,28:01,.169,.125,.625,.250,4.1,12.0,8.1,3.5,1.7,6.0,0.0,13.9,56,110,-12.9
4,Cameron Johnson,23:10,.556,.556,.444,.000,14.8,4.8,9.8,24.8,2.1,0.0,0.0,17.1,146,116,5.4
5,player,,,,,,,,,,,,,,,,
6,Cam Thomas,31:50,.835,.833,.389,.222,0.0,10.5,5.3,19.8,1.5,0.0,4.8,28.7,157,115,12.3
7,Royce O'Neale,17:10,.000,.000,1.000,.000,0.0,45.5,23.0,16.8,0.0,0.0,0.0,12.8,45,110,-13.2
8,Dennis Smith Jr.,17:06,.739,.714,.571,.143,6.7,6.5,6.6,36.2,8.4,0.0,21.2,24.3,135,101,13.9
9,Lonnie Walker IV,13:21,1.071,1.071,.571,.000,0.0,8.4,4.2,37.9,0.0,0.0,12.5,26.4,176,119,19.7
10,Harry Giles,5:24,.000,.000,1.000,.000,0.0,20.7,10.5,0.0,0.0,0.0,50.0,16.3,0,116,-24.5
11,Trendon Watford,3:33,.000,.000,.500,.000,32.2,0.0,15.9,0.0,0.0,0.0,0.0,24.8,49,122,-29.8
12,Day'Ron Sharpe,Not With Team,,,,,,,,,,,,,,,
