,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jalen Williams,36:36,.907,.929,.357,.143,0.0,9.4,5.2,31.3,2.5,4.6,11.8,19.5,158,122,12.1
1,Shai Gilgeous-Alexander,34:41,.690,.533,.067,1.133,4.1,16.5,10.9,22.5,1.3,2.4,15.1,32.3,131,125,0.6
2,Cason Wallace,32:29,1.143,1.143,.714,.000,8.7,7.0,7.8,3.8,1.4,2.6,12.5,10.4,178,127,6.9
3,Chet Holmgren,31:55,.444,.438,.375,.125,0.0,17.9,9.9,19.3,0.0,10.6,15.1,26.4,88,122,-5.9
4,Josh Giddey,30:16,.577,.531,.313,.188,4.7,34.0,20.9,26.9,1.5,0.0,10.4,27.0,119,122,-0.4
5,player,,,,,,,,,,,,,,,,
6,Aaron Wiggins,22:26,.515,.333,.333,.667,0.0,10.2,5.6,23.3,0.0,3.8,0.0,7.3,152,128,-0.6
7,Kenrich Williams,17:00,.643,.643,.429,.000,8.3,20.2,14.9,15.4,2.7,0.0,12.5,19.9,121,122,0.4
8,Isaiah Joe,11:45,.750,.750,1.000,.000,12.0,9.7,10.8,10.3,0.0,0.0,0.0,14.4,156,131,3.1
9,Jaylin Williams,10:42,.000,.000,1.000,.000,13.2,10.7,11.8,0.0,8.6,7.9,50.0,7.9,44,106,-4.3
10,Vasilije Micić,8:57,1.042,1.000,.000,1.000,0.0,0.0,0.0,14.4,0.0,0.0,25.8,18.4,152,133,-1.1
11,Lindy Waters III,3:11,.000,.000,1.000,.000,0.0,0.0,0.0,31.4,0.0,0.0,0.0,13.3,65,133,-16.2
12,Dāvis Bertāns,Did Not Play,,,,,,,,,,,,,,,
13,Tre Mann,Did Not Play,,,,,,,,,,,,,,,
14,Aleksej Pokusevski,Did Not Play,,,,,,,,,,,,,,,
15,Olivier Sarr,Did Not Play,,,,,,,,,,,,,,,
