,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Luka Dončić,45:59,11,22,.500,5,13,.385,9,14,.643,2,13,15,18,2,2,7,2,36,-7,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
1,Dereck Lively II,39:19,9,9,1.000,0,0,,2,5,.400,6,10,16,0,1,7,2,2,20,+12,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
2,Seth Curry,36:18,4,15,.267,4,9,.444,0,0,,3,2,5,3,1,1,0,2,12,+14,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
3,Derrick Jones Jr.,32:52,8,15,.533,6,12,.500,2,2,1.000,1,3,4,1,1,1,3,3,24,-1,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
4,Grant Williams,26:35,1,6,.167,0,4,.000,3,4,.750,1,0,1,1,0,0,0,3,5,-7,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
6,A.J. Lawson,18:52,4,10,.400,3,7,.429,1,2,.500,0,0,0,2,0,1,0,1,12,+9,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
7,Jaden Hardy,14:34,2,6,.333,1,4,.250,1,2,.500,0,2,2,0,0,0,2,5,6,-17,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
8,Olivier-Maxence Prosper,14:01,0,2,.000,0,1,.000,2,2,1.000,1,0,1,1,0,0,0,2,2,-4,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
9,Richaun Holmes,4:47,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,0,0,1,-9,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
10,Dwight Powell,3:54,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,1,1,2,-9,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
11,Dexter Dennis,2:49,0,2,.000,0,2,.000,0,0,,1,1,2,0,0,0,0,0,0,-11,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
12,Greg Brown III,0:0,Oklahoma City Thunder,Dallas Mavericks,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Markieff Morris,0:0,Oklahoma City Thunder,Dallas Mavericks,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
