,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Trae Young,35:42,.493,.286,.714,.857,0.0,9.8,4.4,47.1,0.0,0.0,9.4,24.3,126,138,-2.1,Chicago Bulls,Atlanta Hawks,2024-02-12
1,Jalen Johnson,34:56,.604,.556,.222,.444,2.7,23.5,11.9,7.4,0.0,0.0,0.0,12.6,137,136,-5.1,Chicago Bulls,Atlanta Hawks,2024-02-12
2,Dejounte Murray,33:49,.475,.471,.471,.118,2.8,13.8,7.7,37.5,2.8,0.0,25.1,28.8,90,131,-6.8,Chicago Bulls,Atlanta Hawks,2024-02-12
3,Onyeka Okongwu,32:31,.619,.625,.125,.250,14.5,25.2,19.3,4.0,0.0,2.3,0.0,11.1,148,133,-3.6,Chicago Bulls,Atlanta Hawks,2024-02-12
4,Saddiq Bey,32:17,.463,.455,.455,.182,2.9,14.5,8.1,12.2,0.0,0.0,0.0,15.0,113,137,-6.5,Chicago Bulls,Atlanta Hawks,2024-02-12
6,De'Andre Hunter,28:13,.673,.571,.500,.500,6.7,16.6,11.1,0.0,1.7,5.3,10.5,27.6,127,127,3.0,Chicago Bulls,Atlanta Hawks,2024-02-12
7,Bogdan Bogdanović,26:53,.875,.875,.625,.000,3.5,4.4,3.9,29.3,1.8,0.0,5.9,25.8,157,134,17.8,Chicago Bulls,Atlanta Hawks,2024-02-12
8,Bruno Fernando,11:31,.400,.400,.000,.000,32.7,30.5,31.7,0.0,0.0,0.0,0.0,17.7,123,134,-13.0,Chicago Bulls,Atlanta Hawks,2024-02-12
9,Garrison Mathews,4:08,,,,,0.0,28.3,12.6,0.0,0.0,0.0,,0.0,0,135,-8.0,Chicago Bulls,Atlanta Hawks,2024-02-12
10,Kobe Bufkin,0:0,Chicago Bulls,Atlanta Hawks,2024-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Clint Capela,Did Not Dress,Chicago Bulls,Atlanta Hawks,2024-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Patty Mills,Did Not Dress,Chicago Bulls,Atlanta Hawks,2024-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
