,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Bam Adebayo,31:16,8,14,.571,0,0,,0,0,,5,7,12,11,2,0,3,2,16,+30,Miami Heat,Milwaukee Bucks,2024-02-13
1,Nikola Jović,30:29,8,13,.615,5,8,.625,3,4,.750,0,7,7,3,1,0,0,1,24,+14,Miami Heat,Milwaukee Bucks,2024-02-13
2,Tyler Herro,30:10,7,16,.438,3,8,.375,2,2,1.000,0,3,3,5,0,0,1,0,19,+15,Miami Heat,Milwaukee Bucks,2024-02-13
3,Duncan Robinson,26:18,8,12,.667,6,8,.750,1,1,1.000,0,3,3,5,2,1,0,1,23,+24,Miami Heat,Milwaukee Bucks,2024-02-13
4,Caleb Martin,24:49,1,3,.333,0,2,.000,0,0,,0,1,1,2,0,1,1,2,2,+22,Miami Heat,Milwaukee Bucks,2024-02-13
6,Jaime Jaquez Jr.,27:52,5,12,.417,0,2,.000,2,3,.667,1,2,3,4,0,0,3,3,12,+18,Miami Heat,Milwaukee Bucks,2024-02-13
7,Kevin Love,23:28,6,8,.750,5,7,.714,2,4,.500,0,8,8,3,2,0,1,2,19,+13,Miami Heat,Milwaukee Bucks,2024-02-13
8,Haywood Highsmith,22:59,1,4,.250,0,2,.000,0,0,,0,4,4,0,2,1,0,1,2,+4,Miami Heat,Milwaukee Bucks,2024-02-13
9,Jamal Cain,6:18,0,1,.000,0,0,,2,2,1.000,1,1,2,0,0,0,0,1,2,-2,Miami Heat,Milwaukee Bucks,2024-02-13
10,Alondes Williams,6:18,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-2,Miami Heat,Milwaukee Bucks,2024-02-13
11,Cole Swider,5:34,0,2,.000,0,2,.000,2,2,1.000,0,1,1,1,0,0,3,0,2,-3,Miami Heat,Milwaukee Bucks,2024-02-13
12,Orlando Robinson,4:29,1,1,1.000,0,0,,0,0,,0,2,2,0,1,0,1,0,2,-3,Miami Heat,Milwaukee Bucks,2024-02-13
13,Thomas Bryant,0:0,Miami Heat,Milwaukee Bucks,2024-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
