,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Jonathan Kuminga,39:03,11,19,.579,1,3,.333,3,4,.750,2,5,7,2,3,1,3,3,26,+10,Philadelphia76ers,Golden State Warriors,2024-01-30
1,Andrew Wiggins,38:19,8,10,.800,1,2,.500,6,6,1.000,0,5,5,4,3,1,1,2,23,+18,Philadelphia76ers,Golden State Warriors,2024-01-30
2,Brandin Podziemski,36:33,5,11,.455,1,5,.200,0,1,.000,1,5,6,3,0,0,3,2,11,+15,Philadelphia76ers,Golden State Warriors,2024-01-30
3,Stephen Curry,35:12,12,17,.706,8,13,.615,5,5,1.000,1,7,8,7,0,1,5,2,37,+26,Philadelphia76ers,Golden State Warriors,2024-01-30
4,Draymond Green,29:04,3,8,.375,2,4,.500,1,1,1.000,1,5,6,6,0,1,2,3,9,+18,Philadelphia76ers,Golden State Warriors,2024-01-30
6,Dario Šarić,16:46,0,2,.000,0,1,.000,2,2,1.000,0,2,2,7,0,1,1,3,2,-4,Philadelphia76ers,Golden State Warriors,2024-01-30
7,Cory Joseph,13:19,1,4,.250,0,2,.000,0,0,,1,0,1,2,0,0,1,3,2,-10,Philadelphia76ers,Golden State Warriors,2024-01-30
8,Trayce Jackson-Davis,12:15,3,5,.600,0,0,,0,0,,2,2,4,0,0,0,0,0,6,-5,Philadelphia76ers,Golden State Warriors,2024-01-30
9,Lester Quinones,11:27,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,2,3,-3,Philadelphia76ers,Golden State Warriors,2024-01-30
10,Kevon Looney,8:02,0,1,.000,0,0,,0,0,,0,3,3,1,0,1,0,0,0,-5,Philadelphia76ers,Golden State Warriors,2024-01-30
11,Gui Santos,0:0,Philadelphia76ers,Golden State Warriors,2024-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Klay Thompson,0:0,Philadelphia76ers,Golden State Warriors,2024-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
