,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Paolo Banchero,35:41,9,18,.500,2,5,.400,6,9,.667,1,3,4,7,0,0,2,1,26,+11
1,Jalen Suggs,32:15,4,11,.364,2,8,.250,0,0,,1,3,4,5,2,1,2,4,10,+4
2,Franz Wagner,30:58,3,11,.273,2,7,.286,3,3,1.000,2,6,8,7,1,0,2,2,11,+18
3,Markelle Fultz,27:23,7,10,.700,0,0,,0,0,,1,1,2,4,5,0,0,3,14,+1
4,Wendell Carter Jr.,23:19,4,8,.500,1,4,.250,0,0,,0,3,3,1,0,1,0,1,9,-6
5,player,,,,,,,,,,,,,,,,,,,,
6,Jonathan Isaac,22:56,3,7,.429,1,2,.500,2,4,.500,1,2,3,1,1,2,1,2,9,+17
7,Moritz Wagner,22:45,5,13,.385,0,0,,6,8,.750,5,7,12,1,1,1,0,1,16,+20
8,Joe Ingles,13:18,2,4,.500,2,4,.500,0,0,,0,2,2,2,0,0,0,3,6,-1
9,Anthony Black,13:15,1,2,.500,0,1,.000,2,2,1.000,0,1,1,1,0,1,0,1,4,+4
10,Cole Anthony,10:26,2,5,.400,1,2,.500,0,0,,0,1,1,1,2,0,0,3,5,+3
11,Caleb Houstan,1:56,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+1
12,Goga Bitadze,1:56,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,+1
13,Chuma Okeke,1:56,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+1
14,Trevelin Queen,1:56,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+1
