,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Donovan Mitchell,36:44,9,22,.409,6,15,.400,6,6,1.000,1,5,6,4,1,1,5,5,30,+3,Cleveland Cavaliers,New York Knicks,2023-11-01
1,Evan Mobley,35:15,6,12,.500,0,0,,2,3,.667,2,6,8,5,2,2,2,2,14,+8,Cleveland Cavaliers,New York Knicks,2023-11-01
2,Max Strus,34:43,3,9,.333,0,5,.000,3,3,1.000,0,4,4,4,0,2,5,3,9,+3,Cleveland Cavaliers,New York Knicks,2023-11-01
3,Isaac Okoro,30:44,1,3,.333,0,2,.000,0,0,,0,3,3,2,1,0,1,6,2,-1,Cleveland Cavaliers,New York Knicks,2023-11-01
4,Georges Niang,28:09,1,6,.167,1,3,.333,2,2,1.000,0,10,10,2,1,0,0,4,5,+7,Cleveland Cavaliers,New York Knicks,2023-11-01
6,Caris LeVert,30:30,6,14,.429,3,4,.750,4,4,1.000,0,6,6,5,1,0,3,3,19,+10,Cleveland Cavaliers,New York Knicks,2023-11-01
7,Dean Wade,19:51,2,3,.667,2,3,.667,0,0,,1,2,3,0,0,0,0,0,6,-1,Cleveland Cavaliers,New York Knicks,2023-11-01
8,Tristan Thompson,12:47,3,4,.750,0,0,,0,0,,2,3,5,0,0,0,2,1,6,-2,Cleveland Cavaliers,New York Knicks,2023-11-01
9,Craig Porter Jr.,11:16,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,1,0,0,3,4,+3,Cleveland Cavaliers,New York Knicks,2023-11-01
10,Emoni Bates,0:0,Cleveland Cavaliers,New York Knicks,2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Damian Jones,0:0,Cleveland Cavaliers,New York Knicks,2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Sam Merrill,0:0,Cleveland Cavaliers,New York Knicks,2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Isaiah Mobley,0:0,Cleveland Cavaliers,New York Knicks,2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
