,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,D'Angelo Russell,41:10,8,19,.421,3,12,.250,4,5,.800,0,1,1,5,1,0,1,0,23,-19
1,LeBron James,36:47,9,15,.600,2,5,.400,3,8,.375,0,6,6,10,1,1,1,4,23,-11
2,Austin Reaves,29:44,3,8,.375,1,3,.333,1,2,.500,1,2,3,5,1,0,2,1,8,-11
3,Anthony Davis,28:48,10,20,.500,3,3,1.000,0,1,.000,2,5,7,2,2,1,3,2,23,-10
4,Taurean Prince,25:27,2,6,.333,1,4,.250,0,0,,0,3,3,1,0,1,2,1,5,-18
5,player,,,,,,,,,,,,,,,,,,,,
6,Rui Hachimura,22:17,4,5,.800,2,3,.667,6,8,.750,0,5,5,1,1,0,0,0,16,0
7,Max Christie,20:11,3,6,.500,1,2,.500,0,0,,0,6,6,1,0,1,0,0,7,0
8,Jaxson Hayes,13:42,4,4,1.000,0,0,,1,1,1.000,1,1,2,0,1,1,1,2,9,+4
9,Christian Wood,10:01,1,6,.167,0,2,.000,0,0,,0,2,2,0,2,0,2,2,2,-9
10,Jarred Vanderbilt,7:27,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,1,0,0,0,3,-6
11,Jalen Hood-Schifino,2:13,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,1,0,1,0,0
12,Maxwell Lewis,2:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
