,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Tyus Jones,38:31,.733,.733,.400,.000,0.0,10.6,5.1,49.3,7.3,2.1,6.3,17.5,151,98,19.6,Washington Wizards,Phoenix Suns,2023-12-17
1,Daniel Gafford,35:06,.808,.769,.000,.538,18.8,29.1,23.7,16.2,0.0,4.6,5.9,20.5,166,106,11.6,Washington Wizards,Phoenix Suns,2023-12-17
2,Kyle Kuzma,34:23,.372,.386,.591,.091,2.7,17.8,10.0,9.6,0.0,4.7,8.0,30.5,74,109,-9.2,Washington Wizards,Phoenix Suns,2023-12-17
3,Jordan Poole,31:53,.391,.353,.529,.118,0.0,12.8,6.1,19.1,1.5,0.0,18.3,28.9,73,110,-11.2,Washington Wizards,Phoenix Suns,2023-12-17
4,Deni Avdija,31:33,.451,.333,.167,.667,0.0,19.4,9.3,8.5,0.0,0.0,20.5,13.0,82,111,-11.1,Washington Wizards,Phoenix Suns,2023-12-17
6,Corey Kispert,25:14,.333,.333,.778,.000,0.0,0.0,0.0,5.4,0.0,3.2,0.0,15.0,75,116,-8.8,Washington Wizards,Phoenix Suns,2023-12-17
7,Bilal Coulibaly,20:01,.429,.429,.857,.000,0.0,5.1,2.4,7.0,0.0,0.0,0.0,14.8,93,116,-7.2,Washington Wizards,Phoenix Suns,2023-12-17
8,Danilo Gallinari,12:17,.904,.750,1.000,1.500,0.0,8.3,4.0,0.0,3.8,0.0,0.0,11.4,187,107,7.4,Washington Wizards,Phoenix Suns,2023-12-17
9,Mike Muscala,10:22,.410,.250,.500,.500,18.2,19.7,18.9,0.0,0.0,0.0,0.0,19.9,109,111,-7.5,Washington Wizards,Phoenix Suns,2023-12-17
10,Anthony Gill,0:20,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118,-8.7,Washington Wizards,Phoenix Suns,2023-12-17
11,Eugene Omoruyi,0:20,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118,-10.4,Washington Wizards,Phoenix Suns,2023-12-17
12,Jules Bernard,0:0,Washington Wizards,Phoenix Suns,2023-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Jared Butler,0:0,Washington Wizards,Phoenix Suns,2023-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
