,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Mikal Bridges,29:13,8,12,.667,2,2,1.000,0,0,,0,1,1,3,0,0,2,0,18,-14,Philadelphia76ers,Brooklyn Nets,2023-11-19
1,Cameron Johnson,27:39,3,12,.250,1,5,.200,2,2,1.000,3,2,5,2,0,1,2,2,9,-28,Philadelphia76ers,Brooklyn Nets,2023-11-19
2,Spencer Dinwiddie,27:38,3,10,.300,1,4,.250,5,6,.833,0,4,4,5,0,1,2,0,12,-21,Philadelphia76ers,Brooklyn Nets,2023-11-19
3,Dorian Finney-Smith,27:04,2,7,.286,1,3,.333,0,0,,1,2,3,2,0,0,1,2,5,-19,Philadelphia76ers,Brooklyn Nets,2023-11-19
4,Nic Claxton,22:39,5,6,.833,0,0,,0,3,.000,0,9,9,1,0,1,2,3,10,-17,Philadelphia76ers,Brooklyn Nets,2023-11-19
6,Lonnie Walker IV,32:26,9,17,.529,6,11,.545,2,2,1.000,0,6,6,2,0,0,2,1,26,-2,Philadelphia76ers,Brooklyn Nets,2023-11-19
7,Royce O'Neale,25:25,0,2,.000,0,0,,0,0,,1,3,4,3,1,2,1,1,0,-1,Philadelphia76ers,Brooklyn Nets,2023-11-19
8,Trendon Watford,21:33,3,9,.333,0,2,.000,2,2,1.000,2,2,4,4,1,1,2,3,8,0,Philadelphia76ers,Brooklyn Nets,2023-11-19
9,Day'Ron Sharpe,20:03,3,3,1.000,0,0,,0,0,,2,6,8,2,0,2,1,1,6,-8,Philadelphia76ers,Brooklyn Nets,2023-11-19
10,Harry Giles,6:20,2,3,.667,0,1,.000,1,1,1.000,0,1,1,0,0,0,0,1,5,0,Philadelphia76ers,Brooklyn Nets,2023-11-19
11,Dennis Smith Jr.,Did Not Dress,Philadelphia76ers,Brooklyn Nets,2023-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Cam Thomas,Did Not Dress,Philadelphia76ers,Brooklyn Nets,2023-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
