,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,DeMar DeRozan,41:33,8,17,.471,0,5,.000,9,12,.750,1,1,2,5,3,4,5,1,25,-14,Toronto Raptors,Chicago Bulls,2024-01-30
1,Ayo Dosunmu,39:03,8,11,.727,4,5,.800,1,2,.500,1,4,5,2,0,1,4,4,21,-10,Toronto Raptors,Chicago Bulls,2024-01-30
2,Nikola Vučević,36:04,5,11,.455,2,5,.400,2,2,1.000,1,8,9,3,2,1,1,2,14,-11,Toronto Raptors,Chicago Bulls,2024-01-30
3,Coby White,35:01,5,10,.500,1,4,.250,2,2,1.000,0,2,2,6,1,0,1,3,13,-17,Toronto Raptors,Chicago Bulls,2024-01-30
4,Alex Caruso,32:37,3,9,.333,1,6,.167,4,6,.667,0,3,3,2,1,2,3,2,11,+7,Toronto Raptors,Chicago Bulls,2024-01-30
6,Julian Phillips,20:07,3,4,.750,2,3,.667,1,1,1.000,0,1,1,0,0,0,2,2,9,-7,Toronto Raptors,Chicago Bulls,2024-01-30
7,Andre Drummond,14:06,3,4,.750,0,0,,1,2,.500,3,4,7,0,1,1,0,0,7,+4,Toronto Raptors,Chicago Bulls,2024-01-30
8,Jevon Carter,13:14,1,5,.200,1,3,.333,0,0,,0,0,0,2,0,0,0,1,3,-6,Toronto Raptors,Chicago Bulls,2024-01-30
9,Dalen Terry,8:15,2,4,.500,0,1,.000,0,0,,0,4,4,1,1,0,1,1,4,-1,Toronto Raptors,Chicago Bulls,2024-01-30
10,Onuralp Bitim,0:0,Toronto Raptors,Chicago Bulls,2024-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Henri Drell,0:0,Toronto Raptors,Chicago Bulls,2024-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Adama Sanogo,0:0,Toronto Raptors,Chicago Bulls,2024-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Terry Taylor,0:0,Toronto Raptors,Chicago Bulls,2024-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
