,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Giannis Antetokounmpo,38:49,.571,.524,.048,.857,15.8,27.5,21.5,34.7,1.2,6.3,12.2,33.9,122,100,8.8,Portland Trail Blazers,Milwaukee Bucks,2023-11-26
1,Damian Lillard,37:16,.571,.429,.571,.667,2.7,11.4,7.0,19.8,2.6,0.0,9.9,32.4,126,107,4.5,Portland Trail Blazers,Milwaukee Bucks,2023-11-26
2,Malik Beasley,36:07,.500,.500,.786,.000,2.8,14.8,8.7,0.0,4.0,0.0,12.5,17.7,99,103,-2.3,Portland Trail Blazers,Milwaukee Bucks,2023-11-26
3,Brook Lopez,31:06,.455,.455,.545,.000,3.3,17.1,10.1,16.1,4.7,10.5,0.0,14.1,123,93,6.5,Portland Trail Blazers,Milwaukee Bucks,2023-11-26
4,Andre Jackson Jr.,11:32,,,,,0.0,9.2,4.5,0.0,0.0,0.0,,0.0,0,114,-8.7,Portland Trail Blazers,Milwaukee Bucks,2023-11-26
6,Bobby Portis,30:41,.500,.500,.417,.000,20.0,7.0,13.6,5.8,3.2,8.0,14.3,18.2,111,102,0.5,Portland Trail Blazers,Milwaukee Bucks,2023-11-26
7,Pat Connaughton,19:37,.625,.625,.500,.000,10.4,10.9,10.6,8.1,2.5,0.0,33.3,12.2,99,107,-3.4,Portland Trail Blazers,Milwaukee Bucks,2023-11-26
8,Cameron Payne,17:16,.375,.375,.750,.000,0.0,12.4,6.0,25.9,2.8,0.0,42.9,16.2,66,106,-11.5,Portland Trail Blazers,Milwaukee Bucks,2023-11-26
9,MarJon Beauchamp,9:27,,,,,0.0,11.3,5.5,14.5,0.0,8.6,100.0,4.2,43,107,-7.6,Portland Trail Blazers,Milwaukee Bucks,2023-11-26
10,Thanasis Antetokounmpo,4:13,,,,,0.0,50.6,24.7,0.0,0.0,0.0,,0.0,0,100,-5.8,Portland Trail Blazers,Milwaukee Bucks,2023-11-26
11,A.J. Green,3:54,.000,.000,1.000,.000,26.2,0.0,13.4,0.0,0.0,0.0,0.0,20.5,34,116,-27.7,Portland Trail Blazers,Milwaukee Bucks,2023-11-26
12,Marques Bolden,0:0,Portland Trail Blazers,Milwaukee Bucks,2023-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Chris Livingston,0:0,Portland Trail Blazers,Milwaukee Bucks,2023-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Robin Lopez,0:0,Portland Trail Blazers,Milwaukee Bucks,2023-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,TyTy Washington Jr.,0:0,Portland Trail Blazers,Milwaukee Bucks,2023-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
