,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,RJ Barrett,30:09,2,9,.222,0,2,.000,0,0,,0,7,7,2,1,3,2,4,4,-16
1,Pascal Siakam,29:57,8,14,.571,5,6,.833,6,8,.750,0,4,4,2,0,0,2,1,27,-23
2,Scottie Barnes,28:06,6,13,.462,2,4,.500,5,11,.455,1,2,3,3,0,3,3,3,19,-21
3,Immanuel Quickley,24:54,4,8,.500,3,3,1.000,4,4,1.000,1,2,3,0,0,0,1,1,15,-28
4,Thaddeus Young,12:16,0,1,.000,0,0,,0,0,,0,2,2,2,0,0,0,5,0,+2
5,player,,,,,,,,,,,,,,,,,,,,
6,Jontay Porter,31:28,3,8,.375,1,4,.250,2,2,1.000,2,4,6,6,2,2,0,1,9,-23
7,Dennis Schröder,22:43,4,9,.444,4,7,.571,0,0,,0,0,0,4,1,0,1,2,12,-9
8,Gary Trent Jr.,21:41,2,6,.333,1,2,.500,0,0,,1,0,1,2,0,0,1,1,5,-6
9,Gradey Dick,12:10,0,3,.000,0,2,.000,0,0,,0,1,1,2,0,0,0,1,0,-8
10,Chris Boucher,11:36,2,4,.500,1,3,.333,2,2,1.000,0,0,0,0,0,0,1,1,7,-12
11,Jalen McDaniels,7:30,4,5,.800,0,0,,7,10,.700,2,1,3,0,1,0,1,0,15,-8
12,Garrett Temple,7:30,0,1,.000,0,1,.000,0,0,,1,0,1,2,0,0,1,1,0,-8
