,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Eric Gordon,38:01,7,13,.538,3,7,.429,2,2,1.000,0,0,0,3,2,1,4,3,19,-2,Sacramento Kings,Phoenix Suns,2023-12-08
1,Devin Booker,37:32,10,14,.714,2,2,1.000,6,9,.667,0,7,7,7,1,0,3,4,28,-6,Sacramento Kings,Phoenix Suns,2023-12-08
2,Jusuf Nurkić,29:47,6,13,.462,2,4,.500,1,4,.250,1,8,9,3,1,0,0,3,15,+2,Sacramento Kings,Phoenix Suns,2023-12-08
3,Josh Okogie,28:40,0,5,.000,0,3,.000,0,0,,2,0,2,3,2,2,1,3,0,+3,Sacramento Kings,Phoenix Suns,2023-12-08
4,Keita Bates-Diop,17:11,2,6,.333,1,3,.333,0,2,.000,1,3,4,2,0,0,0,0,5,-8,Sacramento Kings,Phoenix Suns,2023-12-08
6,Yuta Watanabe,23:50,3,8,.375,3,8,.375,0,0,,0,2,2,1,0,0,0,0,9,-13,Sacramento Kings,Phoenix Suns,2023-12-08
7,Chimezie Metu,23:14,4,9,.444,0,4,.000,2,2,1.000,0,4,4,1,2,2,0,1,10,-1,Sacramento Kings,Phoenix Suns,2023-12-08
8,Jordan Goodwin,19:35,3,6,.500,0,1,.000,2,2,1.000,2,3,5,6,0,0,2,2,8,-12,Sacramento Kings,Phoenix Suns,2023-12-08
9,Drew Eubanks,16:23,4,8,.500,0,0,,0,0,,2,4,6,0,0,0,1,3,8,-10,Sacramento Kings,Phoenix Suns,2023-12-08
10,Nassir Little,3:54,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1,Sacramento Kings,Phoenix Suns,2023-12-08
11,Saben Lee,0:55,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,+4,Sacramento Kings,Phoenix Suns,2023-12-08
12,Bol Bol,0:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+4,Sacramento Kings,Phoenix Suns,2023-12-08
