,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Shai Gilgeous-Alexander,35:24,11,24,.458,2,3,.667,9,11,.818,1,12,13,8,0,0,2,2,33,+2,Oklahoma City Thunder,Atlanta Hawks,2024-01-03
1,Jalen Williams,34:36,9,12,.750,1,1,1.000,2,5,.400,1,2,3,6,4,0,2,4,21,+3,Oklahoma City Thunder,Atlanta Hawks,2024-01-03
2,Luguentz Dort,29:03,3,7,.429,2,3,.667,6,6,1.000,3,1,4,3,0,0,0,4,14,+11,Oklahoma City Thunder,Atlanta Hawks,2024-01-03
3,Chet Holmgren,24:34,5,9,.556,2,5,.400,0,0,,0,3,3,1,0,0,4,1,12,-1,Oklahoma City Thunder,Atlanta Hawks,2024-01-03
4,Josh Giddey,22:22,3,7,.429,2,3,.667,1,2,.500,2,1,3,4,1,0,2,1,9,+1,Oklahoma City Thunder,Atlanta Hawks,2024-01-03
6,Aaron Wiggins,21:14,6,7,.857,1,1,1.000,0,0,,1,2,3,2,1,1,0,1,13,-7,Oklahoma City Thunder,Atlanta Hawks,2024-01-03
7,Lindy Waters III,20:08,3,6,.500,3,6,.500,0,0,,0,3,3,1,0,0,1,2,9,+5,Oklahoma City Thunder,Atlanta Hawks,2024-01-03
8,Cason Wallace,19:55,5,9,.556,3,7,.429,2,2,1.000,0,1,1,2,1,0,0,2,15,-16,Oklahoma City Thunder,Atlanta Hawks,2024-01-03
9,Isaiah Joe,17:43,4,8,.500,1,5,.200,0,0,,1,0,1,1,1,0,2,2,9,-3,Oklahoma City Thunder,Atlanta Hawks,2024-01-03
10,Jaylin Williams,15:01,1,2,.500,1,2,.500,0,0,,0,3,3,2,2,0,0,4,3,-10,Oklahoma City Thunder,Atlanta Hawks,2024-01-03
11,Dāvis Bertāns,0:0,Oklahoma City Thunder,Atlanta Hawks,2024-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Tre Mann,0:0,Oklahoma City Thunder,Atlanta Hawks,2024-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Vasilije Micić,0:0,Oklahoma City Thunder,Atlanta Hawks,2024-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Olivier Sarr,0:0,Oklahoma City Thunder,Atlanta Hawks,2024-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Kenrich Williams,0:0,Oklahoma City Thunder,Atlanta Hawks,2024-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
