,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jalen Green,38:14,.712,.675,.600,.200,0.0,13.9,5.9,23.7,4.0,5.2,12.1,31.2,122,113,14.8
1,Fred VanVleet,37:14,.621,.583,.500,.167,0.0,10.7,4.6,23.6,2.8,0.0,0.0,16.7,132,119,4.2
2,Alperen Şengün,33:31,.421,.364,.091,.182,5.8,31.8,16.8,24.5,3.1,0.0,14.4,20.0,94,112,-2.0
3,Dillon Brooks,31:15,.547,.500,.636,.182,0.0,12.8,5.4,5.3,0.0,0.0,0.0,18.3,109,124,-4.2
4,Jabari Smith Jr.,21:48,.000,.000,.667,.000,0.0,6.1,2.6,0.0,2.4,0.0,0.0,13.3,0,121,-18.6
5,player,,,,,,,,,,,,,,,,
6,Cam Whitmore,20:14,.638,.625,.583,.250,0.0,0.0,0.0,0.0,2.5,0.0,0.0,31.8,118,123,7.9
7,Aaron Holiday,17:28,.000,.000,1.000,.000,5.6,0.0,3.2,7.9,0.0,0.0,0.0,11.0,34,128,-16.4
8,Amen Thompson,17:10,.644,.500,.167,.667,11.4,31.1,19.7,0.0,3.0,0.0,0.0,21.8,141,112,3.3
9,Jeff Green,14:35,.000,.000,.667,.000,0.0,0.0,0.0,9.4,0.0,0.0,0.0,9.9,19,128,-17.9
10,Jae'Sean Tate,6:41,.500,.500,.000,.000,0.0,20.0,8.4,51.6,7.7,0.0,0.0,14.4,129,106,15.8
11,Nate Hinton,0:55,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,128,-9.9
12,Jermaine Samuels,0:55,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,128,-9.1
13,Reggie Bullock,Did Not Play,,,,,,,,,,,,,,,
14,Jock Landale,Did Not Play,,,,,,,,,,,,,,,
15,Boban Marjanović,Did Not Play,,,,,,,,,,,,,,,
