,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Killian Hayes,38:35,.573,.529,.353,.412,0.0,13.0,6.6,24.8,2.6,0.0,9.1,24.6,114,115,4.7
1,Cade Cunningham,35:46,.531,.472,.278,.222,2.9,8.4,5.7,32.1,0.0,0.0,16.8,28.6,102,122,-3.8
2,Ausar Thompson,32:16,.524,.545,.091,.091,9.7,31.0,20.6,19.1,1.5,8.1,14.9,17.9,105,106,5.1
3,Isaiah Stewart,31:41,.500,.500,.500,.000,3.3,15.8,9.7,8.9,0.0,2.8,23.1,17.6,82,118,-5.8
4,Jalen Duren,22:42,.400,.400,.000,.000,4.6,13.2,9.0,17.7,0.0,3.8,37.5,15.1,70,118,-5.9
5,player,,,,,,,,,,,,,,,,
6,Marcus Sasser,34:36,.324,.269,.538,.154,0.0,8.7,4.4,15.5,0.0,0.0,0.0,17.2,85,122,-10.0
7,Stanley Umude,17:21,.906,.750,1.000,4.000,0.0,23.1,11.8,7.4,0.0,0.0,0.0,13.7,195,118,8.1
8,Marvin Bagley III,13:18,.750,.750,.000,.000,15.7,22.6,19.2,12.4,0.0,0.0,20.0,16.2,127,118,1.1
9,Jared Rhoden,7:11,.833,.833,.667,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,23.9,97,125,-0.2
10,James Wiseman,6:34,1.000,1.000,.000,.000,47.7,15.2,31.1,0.0,0.0,0.0,0.0,19.6,207,120,16.7
11,Malcolm Cazalon,Did Not Play,,,,,,,,,,,,,,,
12,Jaden Ivey,Did Not Play,,,,,,,,,,,,,,,
13,Kevin Knox,Did Not Play,,,,,,,,,,,,,,,
