,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Trae Young,36:01,.449,.237,.474,.789,0.0,3.2,1.4,35.6,1.3,0.0,16.3,34.1,92,118,-5.9
1,Dejounte Murray,32:44,.331,.214,.214,.429,0.0,7.0,3.2,25.4,0.0,0.0,5.7,21.6,83,120,-8.4
2,De'Andre Hunter,31:00,.477,.500,.444,.111,6.1,7.4,6.7,4.7,0.0,0.0,0.0,12.2,108,119,-8.0
3,Saddiq Bey,28:50,.582,.542,.333,.167,9.8,7.9,9.0,0.0,8.0,0.0,13.4,20.7,107,102,5.0
4,Clint Capela,28:38,.638,.600,.000,.400,19.7,27.9,23.4,0.0,1.6,0.0,14.5,19.3,121,111,-0.4
5,player,,,,,,,,,,,,,,,,
6,Jalen Johnson,29:25,.711,.731,.231,.308,0.0,27.2,12.3,13.4,3.2,3.3,0.0,20.2,142,106,11.8
7,Bogdan Bogdanović,24:26,.389,.389,.556,.000,0.0,18.7,8.4,23.7,5.7,0.0,0.0,14.8,97,104,2.7
8,Onyeka Okongwu,19:20,.643,.600,.000,.200,4.9,17.7,10.7,15.7,0.0,0.0,15.5,13.4,119,116,-4.5
9,AJ Griffin,9:36,.500,.500,.500,.000,0.0,23.8,10.8,0.0,0.0,0.0,33.3,12.6,61,115,-11.8
10,Kobe Bufkin,Did Not Play,,,,,,,,,,,,,,,
11,Bruno Fernando,Did Not Play,,,,,,,,,,,,,,,
12,Trent Forrest,Did Not Play,,,,,,,,,,,,,,,
13,Mouhamed Gueye,Did Not Play,,,,,,,,,,,,,,,
14,Garrison Mathews,Did Not Play,,,,,,,,,,,,,,,
15,Patty Mills,Did Not Play,,,,,,,,,,,,,,,
