,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Nick Richards,39:53,3,5,.600,0,0,,0,1,.000,1,9,10,0,0,4,2,1,6,-8
1,Brandon Miller,38:35,7,16,.438,4,10,.400,0,0,,0,2,2,3,3,0,5,3,18,-4
2,Terry Rozier,37:17,10,14,.714,5,6,.833,3,3,1.000,0,3,3,7,4,1,1,2,28,-15
3,Gordon Hayward,34:41,7,12,.583,1,2,.500,5,5,1.000,1,4,5,7,0,0,4,2,20,+1
4,Miles Bridges,34:22,9,19,.474,1,8,.125,0,0,,1,4,5,4,2,0,4,2,19,+3
5,player,,,,,,,,,,,,,,,,,,,,
6,Bryce McGowens,18:17,2,4,.500,1,2,.500,2,2,1.000,1,2,3,1,0,0,0,2,7,-9
7,Ish Smith,17:08,3,5,.600,0,1,.000,0,0,,0,2,2,4,0,0,3,3,6,-5
8,JT Thor,16:03,0,2,.000,0,2,.000,0,0,,0,1,1,0,1,0,1,3,0,-19
9,P.J. Washington,3:44,0,0,,0,0,,0,0,,0,0,0,1,1,0,1,0,0,+1
10,James Bouknight,Did Not Play,,,,,,,,,,,,,,,,,,,
11,Théo Maledon,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Frank Ntilikina,Did Not Dress,,,,,,,,,,,,,,,,,,,
