,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Shai Gilgeous-Alexander,29:16,6,21,.286,3,7,.429,9,9,1.000,1,1,2,7,3,1,2,4,24,+12
1,Jalen Williams,29:03,6,13,.462,2,3,.667,2,2,1.000,0,3,3,5,2,0,2,3,16,+7
2,Chet Holmgren,27:06,4,7,.571,0,2,.000,5,5,1.000,1,9,10,2,0,2,4,2,13,-1
3,Josh Giddey,26:07,8,14,.571,3,3,1.000,0,0,,2,4,6,1,2,0,3,1,19,-3
4,Luguentz Dort,23:56,2,5,.400,1,3,.333,0,0,,0,2,2,0,1,0,1,2,5,-1
5,player,,,,,,,,,,,,,,,,,,,,
6,Cason Wallace,25:35,4,7,.571,2,2,1.000,0,0,,1,1,2,4,1,0,0,1,10,+22
7,Isaiah Joe,25:03,7,7,1.000,7,7,1.000,2,3,.667,0,5,5,0,1,0,0,1,23,+21
8,Vasilije Micić,21:21,1,5,.200,1,3,.333,2,2,1.000,0,2,2,7,0,0,0,3,5,+18
9,Kenrich Williams,17:36,3,3,1.000,0,0,,0,0,,2,3,5,3,0,0,0,3,6,+16
10,Aaron Wiggins,11:05,2,3,.667,0,1,.000,1,2,.500,0,2,2,1,0,0,0,0,5,+3
11,Jaylin Williams,3:52,1,2,.500,0,1,.000,0,0,,0,3,3,1,0,0,0,0,2,+1
12,Dāvis Bertāns,Did Not Play,,,,,,,,,,,,,,,,,,,
13,Tre Mann,Did Not Play,,,,,,,,,,,,,,,,,,,
14,Aleksej Pokusevski,Did Not Play,,,,,,,,,,,,,,,,,,,
