,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Cade Cunningham,38:08,4,15,.267,0,5,.000,2,2,1.000,0,3,3,5,0,1,1,4,10,-24
1,Ausar Thompson,32:20,2,9,.222,0,1,.000,5,7,.714,6,10,16,2,0,2,3,1,9,-19
2,Isaiah Stewart,31:22,6,13,.462,3,5,.600,2,4,.500,6,5,11,2,0,0,3,3,17,-10
3,Killian Hayes,24:51,3,8,.375,1,3,.333,0,0,,0,3,3,3,0,0,0,1,7,-12
4,Marvin Bagley III,23:05,6,12,.500,0,1,.000,2,2,1.000,2,3,5,1,0,1,3,1,14,-8
5,player,,,,,,,,,,,,,,,,,,,,
6,Kevin Knox,24:02,7,8,.875,4,5,.800,0,0,,0,3,3,1,1,0,0,2,18,-3
7,Alec Burks,20:39,3,7,.429,2,6,.333,8,9,.889,1,2,3,4,0,0,0,2,16,+6
8,Marcus Sasser,19:45,2,6,.333,1,3,.333,0,0,,0,3,3,6,1,0,2,1,5,+1
9,James Wiseman,14:22,3,6,.500,0,1,.000,0,0,,1,1,2,0,1,2,2,3,6,+5
10,Jaden Ivey,11:25,2,4,.500,0,2,.000,2,2,1.000,0,0,0,2,1,0,2,1,6,+9
11,Jalen Duren,Not With Team,,,,,,,,,,,,,,,,,,,
12,Joe Harris,Not With Team,,,,,,,,,,,,,,,,,,,
13,Stanley Umude,Did Not Play,,,,,,,,,,,,,,,,,,,
