,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Franz Wagner,38:01,6,15,.400,4,8,.500,2,3,.667,1,4,5,4,1,1,5,1,18,+2,Orlando Magic,Memphis Grizzlies,2024-01-26
1,Wendell Carter Jr.,35:24,8,9,.889,2,3,.667,2,3,.667,3,6,9,2,2,2,1,3,20,-5,Orlando Magic,Memphis Grizzlies,2024-01-26
2,Paolo Banchero,34:11,8,20,.400,2,9,.222,9,11,.818,0,5,5,6,2,1,3,3,27,0,Orlando Magic,Memphis Grizzlies,2024-01-26
3,Markelle Fultz,21:16,5,7,.714,0,0,,0,0,,1,2,3,3,0,0,1,1,10,-2,Orlando Magic,Memphis Grizzlies,2024-01-26
4,Jalen Suggs,4:25,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-8,Orlando Magic,Memphis Grizzlies,2024-01-26
6,Anthony Black,26:40,0,3,.000,0,1,.000,2,4,.500,2,1,3,1,0,0,1,5,2,+1,Orlando Magic,Memphis Grizzlies,2024-01-26
7,Cole Anthony,23:22,2,8,.250,0,4,.000,1,2,.500,0,7,7,4,2,0,0,0,5,+10,Orlando Magic,Memphis Grizzlies,2024-01-26
8,Jonathan Isaac,22:09,4,5,.800,0,1,.000,2,2,1.000,2,3,5,0,0,0,0,0,10,+7,Orlando Magic,Memphis Grizzlies,2024-01-26
9,Joe Ingles,17:12,1,5,.200,0,4,.000,0,0,,0,0,0,0,0,0,0,0,2,-9,Orlando Magic,Memphis Grizzlies,2024-01-26
10,Moritz Wagner,12:36,4,6,.667,1,1,1.000,3,4,.750,0,3,3,0,1,0,0,1,12,+4,Orlando Magic,Memphis Grizzlies,2024-01-26
11,Trevelin Queen,4:44,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-5,Orlando Magic,Memphis Grizzlies,2024-01-26
12,Goga Bitadze,0:0,Orlando Magic,Memphis Grizzlies,2024-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Caleb Houstan,0:0,Orlando Magic,Memphis Grizzlies,2024-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Chuma Okeke,0:0,Orlando Magic,Memphis Grizzlies,2024-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
