,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Shai Gilgeous-Alexander,32:52,11,23,.478,1,3,.333,9,9,1.000,1,8,9,4,3,0,5,2,32,+17
1,Jalen Williams,31:28,8,14,.571,1,3,.333,2,2,1.000,0,7,7,6,1,1,2,2,19,+13
2,Josh Giddey,28:24,9,18,.500,0,2,.000,3,5,.600,3,4,7,3,1,1,1,1,21,+10
3,Luguentz Dort,26:00,3,7,.429,1,4,.250,0,0,,0,2,2,0,2,1,0,1,7,+12
4,Chet Holmgren,24:02,4,5,.800,4,5,.800,2,2,1.000,0,4,4,3,2,4,3,5,14,+9
5,player,,,,,,,,,,,,,,,,,,,,
6,Cason Wallace,21:53,1,2,.500,0,1,.000,2,2,1.000,0,4,4,2,0,0,1,2,4,-2
7,Olivier Sarr,21:10,0,0,,0,0,,2,4,.500,1,8,9,1,0,3,0,2,2,+9
8,Isaiah Joe,19:36,3,6,.500,3,5,.600,0,0,,0,0,0,0,0,0,1,1,9,+2
9,Ousmane Dieng,18:06,4,4,1.000,2,2,1.000,0,1,.000,1,0,1,2,0,0,1,0,10,-2
10,Dāvis Bertāns,12:51,1,2,.500,1,2,.500,3,3,1.000,0,1,1,0,0,0,0,1,6,+8
11,Tre Mann,1:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-8
12,Aleksej Pokusevski,1:49,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,2,0,-8
13,Vasilije Micić,Did Not Play,,,,,,,,,,,,,,,,,,,
14,Aaron Wiggins,Did Not Play,,,,,,,,,,,,,,,,,,,
