,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Jerami Grant,41:18,.539,.471,.294,.706,6.0,8.9,7.5,18.7,0.0,0.0,15.2,30.4,104,115,-0.9,New Orleans Pelicans,Portland Trail Blazers,2024-02-10
1,Deandre Ayton,37:14,.500,.500,.000,.000,19.8,36.4,28.1,18.1,3.0,7.9,14.3,26.9,102,96,6.7,New Orleans Pelicans,Portland Trail Blazers,2024-02-10
2,Matisse Thybulle,29:11,.509,.417,.833,.333,4.2,4.2,4.2,5.5,3.8,0.0,12.7,12.9,105,107,0.1,New Orleans Pelicans,Portland Trail Blazers,2024-02-10
3,Jabari Walker,28:57,.600,.600,.200,.000,4.3,12.8,8.5,0.0,0.0,0.0,16.7,9.9,102,113,-8.3,New Orleans Pelicans,Portland Trail Blazers,2024-02-10
4,Ashton Hagans,23:14,.512,.500,.250,.500,0.0,10.6,5.3,28.6,2.4,4.2,17.0,12.1,108,105,0.4,New Orleans Pelicans,Portland Trail Blazers,2024-02-10
6,Dalano Banton,24:46,.416,.393,.357,.071,0.0,14.9,7.5,24.9,0.0,0.0,12.2,31.7,86,113,-6.7,New Orleans Pelicans,Portland Trail Blazers,2024-02-10
7,Kris Murray,22:26,.750,.750,.500,.000,0.0,21.9,11.0,13.9,2.5,0.0,0.0,4.3,169,106,4.3,New Orleans Pelicans,Portland Trail Blazers,2024-02-10
8,Toumani Camara,19:49,.313,.313,.375,.000,0.0,18.6,9.3,8.6,2.8,0.0,27.3,26.5,52,106,-13.3,New Orleans Pelicans,Portland Trail Blazers,2024-02-10
9,Ibou Badji,10:46,1.000,1.000,.000,.000,0.0,11.4,5.7,18.5,0.0,0.0,33.3,13.3,122,113,-1.8,New Orleans Pelicans,Portland Trail Blazers,2024-02-10
10,Justin Minaya,2:19,,,,,53.1,0.0,26.6,0.0,0.0,0.0,100.0,20.6,42,117,-20.5,New Orleans Pelicans,Portland Trail Blazers,2024-02-10
11,Scoot Henderson,0:0,New Orleans Pelicans,Portland Trail Blazers,2024-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Rayan Rupert,0:0,New Orleans Pelicans,Portland Trail Blazers,2024-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
