,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,De'Aaron Fox,37:49,5,15,.333,2,7,.286,9,11,.818,1,4,5,4,1,0,2,2,21,-25
1,Keegan Murray,35:13,6,14,.429,3,7,.429,0,1,.000,2,6,8,3,1,2,2,2,15,-6
2,Domantas Sabonis,32:45,6,10,.600,0,0,,2,2,1.000,5,7,12,5,0,0,4,3,14,-20
3,Harrison Barnes,21:06,1,5,.200,0,4,.000,2,2,1.000,2,0,2,0,1,0,1,1,4,-11
4,Chris Duarte,9:48,0,2,.000,0,1,.000,1,2,.500,1,2,3,0,0,0,1,1,1,-9
5,player,,,,,,,,,,,,,,,,,,,,
6,Malik Monk,26:55,5,17,.294,0,7,.000,5,6,.833,0,1,1,4,2,1,2,1,15,-9
7,Trey Lyles,21:40,2,8,.250,1,5,.200,0,0,,2,1,3,0,0,0,0,1,5,-6
8,Keon Ellis,10:02,1,3,.333,1,2,.500,0,0,,0,2,2,0,0,0,2,1,3,-11
9,Colby Jones,8:48,0,4,.000,0,1,.000,0,0,,1,2,3,3,1,0,1,3,0,+6
10,Sasha Vezenkov,8:32,1,5,.200,0,1,.000,0,0,,5,0,5,0,0,0,1,0,2,-5
11,Alex Len,8:11,1,1,1.000,0,0,,0,0,,2,2,4,1,0,0,0,1,2,-1
12,Davion Mitchell,5:46,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,0,4,+3
13,Kessler Edwards,5:46,1,3,.333,0,1,.000,0,0,,1,0,1,0,0,0,0,1,2,+3
14,JaVale McGee,5:00,0,3,.000,0,1,.000,2,2,1.000,1,4,5,0,0,1,0,0,2,+1
15,Juan Toscano-Anderson,2:38,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,-5
