,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Zion Williamson,29:42,8,12,.667,0,0,,3,5,.600,1,4,5,7,1,0,4,2,19,+23,New Orleans Pelicans,Golden State Warriors,2024-01-10
1,CJ McCollum,26:15,5,13,.385,2,7,.286,2,2,1.000,0,3,3,8,2,1,0,0,14,+22,New Orleans Pelicans,Golden State Warriors,2024-01-10
2,Herbert Jones,23:21,4,7,.571,4,7,.571,0,0,,1,4,5,4,1,2,1,1,12,+10,New Orleans Pelicans,Golden State Warriors,2024-01-10
3,Brandon Ingram,22:39,5,12,.417,1,3,.333,2,2,1.000,1,4,5,1,1,0,2,4,13,+7,New Orleans Pelicans,Golden State Warriors,2024-01-10
4,Jonas Valančiūnas,21:10,9,13,.692,2,3,.667,1,2,.500,4,5,9,2,2,1,0,4,21,+18,New Orleans Pelicans,Golden State Warriors,2024-01-10
6,Trey Murphy III,24:14,6,13,.462,4,11,.364,0,0,,3,1,4,6,0,1,0,2,16,+38,New Orleans Pelicans,Golden State Warriors,2024-01-10
7,Dyson Daniels,22:29,3,4,.750,1,2,.500,1,2,.500,0,3,3,3,1,0,1,2,8,+25,New Orleans Pelicans,Golden State Warriors,2024-01-10
8,Jordan Hawkins,21:11,5,9,.556,4,5,.800,0,0,,0,1,1,2,0,0,0,1,14,+25,New Orleans Pelicans,Golden State Warriors,2024-01-10
9,Larry Nance Jr.,18:55,1,1,1.000,1,1,1.000,3,4,.750,1,4,5,1,2,1,1,0,6,+17,New Orleans Pelicans,Golden State Warriors,2024-01-10
10,Naji Marshall,13:23,5,6,.833,0,0,,2,2,1.000,0,3,3,2,1,0,1,1,12,+1,New Orleans Pelicans,Golden State Warriors,2024-01-10
11,Cody Zeller,7:55,3,3,1.000,0,0,,0,0,,2,1,3,1,0,0,1,2,6,+1,New Orleans Pelicans,Golden State Warriors,2024-01-10
12,Jeremiah Robinson-Earl,6:03,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,-5,New Orleans Pelicans,Golden State Warriors,2024-01-10
13,E.J. Liddell,2:43,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2,New Orleans Pelicans,Golden State Warriors,2024-01-10
14,Jose Alvarado,0:0,New Orleans Pelicans,Golden State Warriors,2024-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
