,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Trae Young,38:19,11,21,.524,7,12,.583,6,6,1.000,0,4,4,10,0,1,5,3,35,-9
1,Dejounte Murray,36:43,8,19,.421,0,5,.000,5,6,.833,0,3,3,6,1,1,0,2,21,-3
2,Saddiq Bey,36:27,1,9,.111,1,7,.143,2,2,1.000,1,5,6,0,2,0,2,0,5,-10
3,Onyeka Okongwu,32:09,7,12,.583,2,4,.500,0,0,,2,2,4,1,0,1,1,4,16,-15
4,De'Andre Hunter,26:11,5,7,.714,2,2,1.000,6,6,1.000,0,2,2,0,1,0,0,1,18,-3
5,player,,,,,,,,,,,,,,,,,,,,
6,Wesley Matthews,20:27,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,3,2,+8
7,Bruno Fernando,15:50,5,7,.714,0,0,,3,5,.600,2,6,8,1,0,1,0,2,13,+7
8,Garrison Mathews,14:00,2,2,1.000,2,2,1.000,0,0,,0,0,0,0,0,0,1,4,6,-10
9,Patty Mills,12:34,1,4,.250,1,3,.333,0,0,,0,2,2,2,0,0,1,2,3,-1
10,Trent Forrest,7:18,0,2,.000,0,0,,0,0,,1,2,3,0,1,0,1,0,0,-4
11,Bogdan Bogdanović,Did Not Dress,,,,,,,,,,,,,,,,,,,
12,Seth Lundy,Did Not Play,,,,,,,,,,,,,,,,,,,
