,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Jerami Grant,40:48,11,19,.579,3,9,.333,5,5,1.000,1,6,7,6,1,0,3,4,30,-13,Golden State Warriors,Portland Trail Blazers,2023-12-17
1,Anfernee Simons,35:35,9,20,.450,0,5,.000,6,6,1.000,0,3,3,7,1,0,4,3,24,-1,Golden State Warriors,Portland Trail Blazers,2023-12-17
2,Deandre Ayton,32:49,4,8,.500,0,0,,0,0,,3,5,8,1,0,1,1,0,8,-3,Golden State Warriors,Portland Trail Blazers,2023-12-17
3,Shaedon Sharpe,27:12,4,10,.400,3,5,.600,1,1,1.000,1,4,5,1,1,0,2,3,12,0,Golden State Warriors,Portland Trail Blazers,2023-12-17
4,Toumani Camara,22:23,3,4,.750,3,3,1.000,2,4,.500,1,2,3,0,2,0,1,2,11,-5,Golden State Warriors,Portland Trail Blazers,2023-12-17
6,Malcolm Brogdon,26:42,3,8,.375,2,5,.400,0,0,,0,1,1,5,0,0,0,1,8,-2,Golden State Warriors,Portland Trail Blazers,2023-12-17
7,Scoot Henderson,21:46,4,9,.444,1,4,.250,5,5,1.000,0,1,1,2,1,0,1,2,14,0,Golden State Warriors,Portland Trail Blazers,2023-12-17
8,Matisse Thybulle,17:42,1,4,.250,1,4,.250,0,0,,1,3,4,1,3,2,0,1,3,+4,Golden State Warriors,Portland Trail Blazers,2023-12-17
9,Jabari Walker,15:03,1,3,.333,0,0,,2,2,1.000,2,3,5,0,1,1,1,4,4,0,Golden State Warriors,Portland Trail Blazers,2023-12-17
10,Moses Brown,0:0,Golden State Warriors,Portland Trail Blazers,2023-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Skylar Mays,0:0,Golden State Warriors,Portland Trail Blazers,2023-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Kris Murray,0:0,Golden State Warriors,Portland Trail Blazers,2023-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Duop Reath,0:0,Golden State Warriors,Portland Trail Blazers,2023-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Ish Wainright,0:0,Golden State Warriors,Portland Trail Blazers,2023-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
