,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Keldon Johnson,35:11,.766,.692,.077,.923,6.2,24.8,16.5,4.0,0.0,0.0,21.5,26.2,122,122,-0.5,San Antonio Spurs,Milwaukee Bucks,2023-12-19
1,Devin Vassell,33:08,.461,.444,.333,.056,0.0,7.9,4.4,8.1,0.0,0.0,9.8,24.4,86,127,-8.9,San Antonio Spurs,Milwaukee Bucks,2023-12-19
2,Jeremy Sochan,32:51,.379,.364,.182,.182,10.0,21.3,16.2,29.1,1.3,0.0,0.0,14.3,114,120,0.7,San Antonio Spurs,Milwaukee Bucks,2023-12-19
3,Zach Collins,28:54,.688,.688,.438,.000,7.5,18.1,13.4,10.7,1.5,5.8,20.0,27.4,107,116,4.4,San Antonio Spurs,Milwaukee Bucks,2023-12-19
4,Malaki Branham,26:41,.545,.545,.364,.000,0.0,6.5,3.6,14.6,0.0,0.0,8.3,17.8,106,127,-3.8,San Antonio Spurs,Milwaukee Bucks,2023-12-19
6,Tre Jones,23:46,.636,.636,.091,.000,0.0,3.7,2.0,31.7,1.9,0.0,15.4,21.7,115,123,0.1,San Antonio Spurs,Milwaukee Bucks,2023-12-19
7,Cedi Osman,18:58,.644,.500,.333,.667,0.0,9.2,5.1,6.6,0.0,0.0,0.0,16.2,139,126,-2.2,San Antonio Spurs,Milwaukee Bucks,2023-12-19
8,Sandro Mamukelashvili,15:12,.300,.300,.800,.000,7.2,40.2,25.5,22.1,2.9,11.1,28.6,18.2,70,103,1.5,San Antonio Spurs,Milwaukee Bucks,2023-12-19
9,Doug McDermott,12:38,.000,.000,.500,.000,0.0,13.8,7.7,16.5,0.0,0.0,0.0,6.3,53,125,-13.0,San Antonio Spurs,Milwaukee Bucks,2023-12-19
10,Dominick Barlow,10:32,.347,.000,1.000,1.000,0.0,24.9,13.8,0.0,0.0,0.0,0.0,10.8,80,122,-12.1,San Antonio Spurs,Milwaukee Bucks,2023-12-19
11,Julian Champagnie,2:09,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,200,129,9.8,San Antonio Spurs,Milwaukee Bucks,2023-12-19
12,Devonte' Graham,0:0,San Antonio Spurs,Milwaukee Bucks,2023-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
