,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Lauri Markkanen,34:57,12,23,.522,5,13,.385,6,6,1.000,5,7,12,3,0,0,3,2,35,+11,Los Angeles Clippers,Utah Jazz,2023-10-27
1,John Collins,34:15,4,11,.364,1,5,.200,4,4,1.000,5,7,12,0,0,1,0,4,13,-4,Los Angeles Clippers,Utah Jazz,2023-10-27
2,Jordan Clarkson,33:43,4,13,.308,3,5,.600,2,3,.667,1,3,4,6,1,0,2,0,13,-2,Los Angeles Clippers,Utah Jazz,2023-10-27
3,Talen Horton-Tucker,26:41,3,10,.300,2,5,.400,2,2,1.000,0,3,3,8,3,1,2,1,10,+4,Los Angeles Clippers,Utah Jazz,2023-10-27
4,Walker Kessler,21:16,3,6,.500,1,2,.500,0,0,,2,2,4,0,0,0,0,0,7,+6,Los Angeles Clippers,Utah Jazz,2023-10-27
6,Kelly Olynyk,26:44,5,6,.833,2,2,1.000,3,3,1.000,3,1,4,3,1,1,3,3,15,-4,Los Angeles Clippers,Utah Jazz,2023-10-27
7,Collin Sexton,19:31,5,12,.417,0,2,.000,3,4,.750,0,1,1,0,0,0,0,3,13,-4,Los Angeles Clippers,Utah Jazz,2023-10-27
8,Kris Dunn,18:31,2,7,.286,0,2,.000,0,0,,0,1,1,3,1,0,3,6,4,+8,Los Angeles Clippers,Utah Jazz,2023-10-27
9,Ochai Agbaji,12:22,1,3,.333,0,2,.000,0,0,,0,1,1,2,1,1,0,3,2,-2,Los Angeles Clippers,Utah Jazz,2023-10-27
10,Keyonte George,12:00,3,5,.600,2,3,.667,0,0,,1,2,3,2,0,0,1,2,8,-3,Los Angeles Clippers,Utah Jazz,2023-10-27
11,Simone Fontecchio,0:0,Los Angeles Clippers,Utah Jazz,2023-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Taylor Hendricks,0:0,Los Angeles Clippers,Utah Jazz,2023-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Luka Šamanić,0:0,Los Angeles Clippers,Utah Jazz,2023-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Brice Sensabaugh,0:0,Los Angeles Clippers,Utah Jazz,2023-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Omer Yurtseven,0:0,Los Angeles Clippers,Utah Jazz,2023-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
