,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Mikal Bridges,34:39,6,11,.545,4,8,.500,1,2,.500,0,1,1,5,2,0,2,1,17,+14
1,Spencer Dinwiddie,33:03,5,11,.455,4,8,.500,5,5,1.000,0,3,3,4,1,0,1,1,19,+10
2,Nic Claxton,32:43,11,16,.688,0,0,,0,0,,2,12,14,1,1,2,0,3,22,+8
3,Dorian Finney-Smith,28:01,1,8,.125,0,5,.000,1,2,.500,1,3,4,1,1,2,0,4,3,+19
4,Cameron Johnson,23:10,4,9,.444,2,4,.500,0,0,,3,1,4,5,1,0,0,1,10,+16
5,player,,,,,,,,,,,,,,,,,,,,
6,Cam Thomas,31:50,13,18,.722,4,7,.571,3,4,.750,0,3,3,4,1,0,1,2,33,+12
7,Royce O'Neale,17:10,0,5,.000,0,5,.000,0,0,,0,7,7,3,0,0,0,1,0,+4
8,Dennis Smith Jr.,17:06,4,7,.571,2,4,.500,1,1,1.000,1,1,2,5,3,0,2,2,11,+2
9,Lonnie Walker IV,13:21,6,7,.857,3,4,.750,0,0,,0,1,1,3,0,0,1,2,15,+4
10,Harry Giles,5:24,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-1
11,Trendon Watford,3:33,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,+2
12,Day'Ron Sharpe,Not With Team,,,,,,,,,,,,,,,,,,,
