,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Desmond Bane,33:46,.663,.650,.300,.300,6.8,5.5,6.0,25.1,1.5,5.4,15.0,34.8,121,104,9.0,Memphis Grizzlies,Dallas Mavericks,2023-12-01
1,David Roddy,24:20,.304,.222,.333,.222,4.7,19.0,12.6,14.8,2.1,3.7,9.2,19.7,84,98,-8.3,Memphis Grizzlies,Dallas Mavericks,2023-12-01
2,Bismack Biyombo,23:26,.667,.667,.000,.000,4.9,19.7,13.1,20.5,0.0,7.7,40.0,9.4,109,100,0.5,Memphis Grizzlies,Dallas Mavericks,2023-12-01
3,Derrick Rose,20:24,.429,.429,.286,.000,0.0,9.0,5.0,19.1,2.5,0.0,12.5,17.3,96,103,-10.1,Memphis Grizzlies,Dallas Mavericks,2023-12-01
4,Jaren Jackson Jr.,13:34,.250,.250,.375,.000,8.4,20.4,15.1,19.2,0.0,13.4,11.1,29.3,70,95,-16.2,Memphis Grizzlies,Dallas Mavericks,2023-12-01
6,Santi Aldama,33:13,.781,.750,.400,.200,17.2,19.5,18.4,12.8,1.5,2.7,8.4,15.8,159,99,7.7,Memphis Grizzlies,Dallas Mavericks,2023-12-01
7,Vince Williams Jr.,26:04,.833,.833,.667,.000,8.8,24.8,17.6,16.8,0.0,6.9,10.0,16.9,156,97,9.4,Memphis Grizzlies,Dallas Mavericks,2023-12-01
8,Jaylen Nowell,25:50,.658,.643,.429,.071,4.4,10.7,7.9,6.4,2.0,0.0,6.5,26.4,128,104,1.4,Memphis Grizzlies,Dallas Mavericks,2023-12-01
9,Xavier Tillman Sr.,21:44,.333,.333,.500,.000,0.0,8.5,4.7,11.2,4.7,8.3,0.0,12.2,93,94,0.6,Memphis Grizzlies,Dallas Mavericks,2023-12-01
10,Ziaire Williams,9:34,.750,.750,.500,.000,0.0,0.0,0.0,12.9,5.3,0.0,50.0,18.4,75,101,-5.2,Memphis Grizzlies,Dallas Mavericks,2023-12-01
11,Jacob Gilyard,2:01,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,113,-13.4,Memphis Grizzlies,Dallas Mavericks,2023-12-01
12,Shaquille Harrison,2:01,,,,,0.0,45.8,25.3,0.0,0.0,0.0,,0.0,0,93,-7.0,Memphis Grizzlies,Dallas Mavericks,2023-12-01
13,John Konchar,2:01,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,111,-19.2,Memphis Grizzlies,Dallas Mavericks,2023-12-01
14,Kenneth Lofton Jr.,2:01,.000,.000,.000,.000,0.0,91.5,50.6,0.0,0.0,0.0,0.0,43.7,0,73,-44.6,Memphis Grizzlies,Dallas Mavericks,2023-12-01
