,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Jabari Smith Jr.,30:36,8,13,.615,1,3,.333,4,5,.800,2,6,8,1,0,0,1,0,21,+37,Dallas Mavericks,Houston Rockets,2023-12-22
1,Jalen Green,26:53,5,14,.357,3,7,.429,4,4,1.000,1,5,6,4,2,0,4,2,17,+35,Dallas Mavericks,Houston Rockets,2023-12-22
2,Fred VanVleet,25:41,3,8,.375,1,5,.200,3,3,1.000,0,2,2,4,1,0,0,2,10,+29,Dallas Mavericks,Houston Rockets,2023-12-22
3,Alperen Şengün,24:41,8,12,.667,1,1,1.000,5,5,1.000,2,13,15,3,0,0,0,2,22,+30,Dallas Mavericks,Houston Rockets,2023-12-22
4,Dillon Brooks,21:35,4,9,.444,2,5,.400,0,0,,0,3,3,1,0,0,2,2,10,+35,Dallas Mavericks,Houston Rockets,2023-12-22
6,Amen Thompson,21:38,4,9,.444,0,2,.000,1,2,.500,0,6,6,4,1,0,3,4,9,-3,Dallas Mavericks,Houston Rockets,2023-12-22
7,Jae'Sean Tate,17:30,1,2,.500,0,1,.000,0,0,,1,7,8,1,0,0,3,4,2,-4,Dallas Mavericks,Houston Rockets,2023-12-22
8,Jock Landale,15:35,1,5,.200,0,3,.000,1,2,.500,3,1,4,2,0,1,0,1,3,-9,Dallas Mavericks,Houston Rockets,2023-12-22
9,Aaron Holiday,15:07,1,3,.333,1,3,.333,0,0,,0,3,3,0,0,0,2,0,3,-5,Dallas Mavericks,Houston Rockets,2023-12-22
10,Cam Whitmore,14:14,6,12,.500,1,6,.167,1,2,.500,2,2,4,0,2,0,0,2,14,-10,Dallas Mavericks,Houston Rockets,2023-12-22
11,Nate Hinton,9:51,1,3,.333,1,2,.500,0,0,,1,1,2,1,0,0,1,3,3,-5,Dallas Mavericks,Houston Rockets,2023-12-22
12,Jermaine Samuels,8:55,3,3,1.000,0,0,,0,0,,0,1,1,0,1,0,0,0,6,-5,Dallas Mavericks,Houston Rockets,2023-12-22
13,Jeff Green,7:44,1,2,.500,0,0,,0,0,,0,1,1,0,0,2,0,0,2,+5,Dallas Mavericks,Houston Rockets,2023-12-22
14,Boban Marjanović,0:0,Dallas Mavericks,Houston Rockets,2023-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
