,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Cam Thomas,37:59,10,17,.588,1,4,.250,12,14,.857,0,2,2,2,0,0,2,4,33,+8,Brooklyn Nets,Charlotte Hornets,2023-10-30
1,Mikal Bridges,37:44,10,13,.769,1,3,.333,3,3,1.000,1,6,7,4,1,1,5,3,24,+10,Brooklyn Nets,Charlotte Hornets,2023-10-30
2,Ben Simmons,35:17,5,6,.833,0,0,,1,2,.500,3,7,10,8,0,1,2,1,11,+3,Brooklyn Nets,Charlotte Hornets,2023-10-30
3,Dorian Finney-Smith,31:15,7,12,.583,4,9,.444,1,2,.500,1,6,7,1,1,2,1,0,19,+5,Brooklyn Nets,Charlotte Hornets,2023-10-30
4,Spencer Dinwiddie,12:54,2,6,.333,1,3,.333,0,0,,0,1,1,3,0,0,1,2,5,+14,Brooklyn Nets,Charlotte Hornets,2023-10-30
6,Royce O'Neale,31:50,3,8,.375,2,6,.333,0,0,,0,2,2,0,0,2,0,1,8,0,Brooklyn Nets,Charlotte Hornets,2023-10-30
7,Lonnie Walker IV,28:43,6,13,.462,3,7,.429,4,6,.667,0,5,5,4,1,1,0,1,19,+11,Brooklyn Nets,Charlotte Hornets,2023-10-30
8,Dennis Smith Jr.,14:02,1,4,.250,0,1,.000,1,2,.500,1,3,4,2,1,0,1,2,3,+7,Brooklyn Nets,Charlotte Hornets,2023-10-30
9,Day'Ron Sharpe,10:16,5,8,.625,0,0,,1,3,.333,4,4,8,1,0,1,1,5,11,+2,Brooklyn Nets,Charlotte Hornets,2023-10-30
10,Nic Claxton,Did Not Dress,Brooklyn Nets,Charlotte Hornets,2023-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Harry Giles,0:0,Brooklyn Nets,Charlotte Hornets,2023-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Trendon Watford,0:0,Brooklyn Nets,Charlotte Hornets,2023-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
