,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Jerami Grant,32:21,10,13,.769,5,6,.833,5,6,.833,0,2,2,4,1,1,2,3,30,+25
1,Shaedon Sharpe,30:39,6,11,.545,2,4,.500,0,0,,0,4,4,4,1,1,1,4,14,+10
2,Toumani Camara,27:54,4,8,.500,2,4,.500,2,2,1.000,3,4,7,3,0,1,2,2,12,+15
3,Malcolm Brogdon,23:52,9,16,.563,1,5,.200,1,1,1.000,1,3,4,8,1,0,0,0,20,+12
4,Duop Reath,20:11,3,5,.600,2,4,.500,0,0,,0,4,4,1,0,1,1,2,8,+5
5,player,,,,,,,,,,,,,,,,,,,,
6,Matisse Thybulle,31:38,5,9,.556,3,6,.500,0,1,.000,1,0,1,2,3,2,3,2,13,+24
7,Jabari Walker,27:57,8,15,.533,2,3,.667,1,2,.500,6,4,10,2,2,0,1,4,19,+11
8,Kris Murray,17:20,1,5,.200,0,3,.000,0,1,.000,2,0,2,0,1,0,0,0,2,-9
9,Scoot Henderson,16:40,1,7,.143,0,3,.000,1,2,.500,1,2,3,7,0,0,3,4,3,+15
10,Skylar Mays,5:44,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-14
11,Rayan Rupert,5:44,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-14
12,Deandre Ayton,Did Not Play,,,,,,,,,,,,,,,,,,,
13,Moses Brown,Did Not Play,,,,,,,,,,,,,,,,,,,
