Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Luka Dončić,24,49,1832,79%,21%,,,,2.6,4.9,137,41,54,4,210,7,1125,58,33
2,Tim Hardaway Jr.,31,54,1600,,11%,67%,21%,,-1.2,-5.3,26,18,36,6,58,33,224,18,22
3,Derrick Jones Jr.,26,52,1298,,,39%,59%,2%,-1.4,-4.6,15,23,49,6,50,14,131,15,14
4,Grant Williams,25,47,1242,,,1%,84%,15%,-3.7,-8.4,16,17,70,12,23,9,206,6,16
5,Josh Green,23,44,1206,,40%,58%,2%,,0.1,-1.6,27,12,39,9,18,27,276,4,26
6,Kyrie Irving,31,35,1187,27%,69%,4%,,,5.8,8.5,29,20,38,3,51,6,453,16,22
7,Dereck Lively II,19,39,983,,,,,100%,7.0,9.4,13,9,69,14,30,1,122,10,15
8,Jaden Hardy,21,52,792,11%,69%,20%,,,-4.4,-7.6,19,12,36,6,26,11,204,6,20
9,Dwight Powell,32,49,730,,,,,100%,3.9,4.0,7,10,65,8,33,4,184,6,11
10,Dante Exum,28,32,631,100%,,,,,8.4,9.6,10,11,25,2,22,12,224,4,12
11,Maxi Kleber,32,21,461,,,,20%,80%,0.9,-0.1,9,4,24,5,8,7,98,3,4
12,Seth Curry,33,36,457,40%,52%,9%,,,7.3,7.5,8,2,13,2,8,4,72,5,5
13,Olivier-Maxence Prosper,21,31,256,,,9%,75%,16%,-8.4,-10.3,2,2,11,1,15,3,47,2,4
14,Richaun Holmes,30,23,237,,,,5%,95%,-8.1,-10.0,4,1,15,5,7,1,36,3,4
15,A.J. Lawson,23,27,230,6%,32%,58%,4%,,5.6,5.1,7,1,13,1,10,0,35,2,6
16,Markieff Morris,34,18,160,,,,44%,56%,-15.6,-17.6,3,4,5,1,2,0,28,0,2
17,P.J. Washington,25,5,149,,,,100%,,14.5,14.3,3,3,6,3,4,1,20,0,3
18,Daniel Gafford,25,5,101,,,,20%,81%,-2.6,-3.7,3,1,10,0,6,0,10,3,4
19,Brandon Williams,24,12,59,100%,,,,,-21.1,-22.6,2,1,2,0,7,3,28,3,2
20,Greg Brown III,22,6,40,,,59%,35%,7%,-7.5,-8.6,2,1,3,1,4,0,8,1,1
21,Dexter Dennis,24,4,30,,48%,52%,,,-11.2,-12.4,3,0,1,0,3,0,9,3,0
