Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Luka Dončić,24,49,49,37.4,11.6,23.5,0.492,3.9,10.2,0.38,7.7,13.2,0.579,0.575,7.3,9.3,0.779,0.7,8.0,8.8,9.5,1.5,0.6,3.9,2.1,34.3
2,Kyrie Irving,31,35,35,33.9,9.7,19.7,0.493,3.0,7.1,0.421,6.7,12.6,0.533,0.568,3.3,3.7,0.885,0.7,4.5,5.2,5.3,1.3,0.5,1.6,1.9,25.7
3,P.J. Washington,25,5,4,29.8,3.2,8.6,0.372,0.8,4.2,0.19,2.4,4.4,0.545,0.419,0.8,1.6,0.5,0.8,4.8,5.6,1.6,0.8,0.4,2.0,2.6,8.0
4,Tim Hardaway Jr.,31,54,10,29.6,5.9,14.2,0.413,3.1,8.6,0.362,2.7,5.6,0.49,0.522,2.3,2.6,0.871,0.3,3.3,3.6,1.7,0.5,0.1,1.0,1.5,17.1
5,Josh Green,23,44,27,27.4,3.5,7.0,0.497,1.5,3.5,0.423,2.0,3.4,0.573,0.605,0.8,1.1,0.66,0.7,2.6,3.3,2.6,0.8,0.2,1.1,2.0,9.2
6,Grant Williams,25,47,33,26.4,2.8,6.7,0.413,1.7,4.5,0.376,1.1,2.3,0.486,0.538,0.9,1.2,0.745,1.0,2.6,3.6,1.7,0.5,0.6,1.1,2.9,8.1
7,Dereck Lively II,19,39,37,25.2,4.0,5.5,0.734,0.0,0.1,0.0,4.0,5.4,0.741,0.734,0.9,1.6,0.548,2.8,4.8,7.6,1.3,0.7,1.4,1.1,2.9,8.9
8,Derrick Jones Jr.,26,52,47,25.0,3.4,7.0,0.485,1.2,3.5,0.343,2.2,3.5,0.626,0.57,1.3,1.8,0.739,1.1,2.5,3.6,1.0,0.8,0.7,0.9,1.7,9.3
9,Maxi Kleber,32,21,7,22.0,2.0,4.4,0.457,0.9,2.5,0.358,1.1,1.9,0.59,0.56,0.7,1.1,0.652,0.8,2.7,3.4,1.8,0.4,0.7,0.9,2.0,5.6
10,Daniel Gafford,25,5,2,20.2,4.6,7.6,0.605,0.0,0.0,,4.6,7.6,0.605,0.605,2.2,3.0,0.733,3.6,5.6,9.2,1.0,0.4,1.8,1.0,2.4,11.4
11,Dante Exum,28,32,14,19.7,3.6,6.3,0.571,1.0,2.0,0.477,2.7,4.3,0.616,0.648,1.0,1.4,0.727,0.6,2.2,2.8,2.8,0.6,0.2,0.8,1.6,9.2
12,Jaden Hardy,21,52,6,15.2,3.0,7.3,0.409,1.3,3.6,0.37,1.6,3.7,0.447,0.501,0.7,1.0,0.717,0.3,1.7,1.9,1.6,0.3,0.1,0.8,1.1,8.0
13,Dwight Powell,32,49,8,14.9,1.4,1.9,0.705,0.0,0.0,0.5,1.3,1.9,0.71,0.711,1.2,1.7,0.723,1.7,2.1,3.7,1.5,0.4,0.4,0.6,2.0,4.0
14,Seth Curry,33,36,3,12.7,1.5,4.0,0.372,0.8,2.2,0.363,0.7,1.8,0.385,0.472,0.5,0.5,0.895,0.4,1.0,1.4,0.8,0.5,0.1,0.4,0.9,4.3
15,Richaun Holmes,30,23,2,10.3,1.4,2.6,0.559,0.0,0.0,,1.4,2.6,0.559,0.559,0.5,0.9,0.571,1.4,2.0,3.4,0.7,0.1,0.4,0.5,1.4,3.4
16,Markieff Morris,34,18,1,8.9,0.9,2.7,0.327,0.6,1.7,0.333,0.3,1.1,0.316,0.429,0.2,0.2,0.75,0.2,1.4,1.7,0.6,0.3,0.1,0.5,0.6,2.5
17,A.J. Lawson,23,27,0,8.5,1.4,3.1,0.464,0.5,1.5,0.325,1.0,1.6,0.591,0.542,0.4,0.7,0.632,0.4,0.8,1.2,0.5,0.3,0.1,0.4,0.7,3.8
18,Olivier-Maxence Prosper,21,31,0,8.3,0.8,2.3,0.352,0.3,1.1,0.242,0.5,1.2,0.447,0.408,0.7,1.1,0.676,0.6,1.4,2.0,0.6,0.1,0.1,0.2,0.5,2.6
19,Dexter Dennis,24,4,0,7.5,2.5,4.8,0.526,0.3,2.0,0.125,2.3,2.8,0.818,0.553,0.3,0.8,0.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5
20,Greg Brown III,22,6,0,6.7,0.8,1.8,0.455,0.2,0.5,0.333,0.7,1.3,0.5,0.5,0.7,1.5,0.444,0.5,1.0,1.5,0.7,0.0,0.7,0.7,0.8,2.5
21,Brandon Williams,24,12,0,4.9,0.7,1.8,0.364,0.2,0.5,0.333,0.5,1.3,0.375,0.409,0.5,0.9,0.545,0.3,0.3,0.6,1.0,0.1,0.1,0.3,0.2,2.0
