Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
1,Luka Dončić,24,49,1832,0.492,16.6,,0.563,0.125,0.203,0.16,0.076,0.437,,0.579,0.84,0.558,0.457,0.46,0.38,,0.155,0.293,,0.002,2,,0.034,0.294,,3,0
2,Tim Hardaway Jr.,31,54,1600,0.413,19.6,,0.394,0.095,0.086,0.107,0.106,0.606,,0.49,0.699,0.409,0.463,0.395,0.362,,0.676,0.869,,0.017,12,,0.241,0.402,,2,0
3,Derrick Jones Jr.,26,52,1298,0.485,13.5,,0.501,0.339,0.146,0.011,0.006,0.499,,0.626,0.691,0.509,0.5,0.0,0.343,,0.746,1.0,,0.165,48,,0.569,0.33,,0,0
4,Grant Williams,25,47,1242,0.413,18.6,,0.338,0.132,0.132,0.05,0.022,0.662,,0.486,0.69,0.333,0.375,0.429,0.376,,0.75,0.987,,0.013,2,,0.386,0.37,,1,0
5,Josh Green,23,44,1206,0.497,14.7,,0.49,0.255,0.157,0.039,0.039,0.51,,0.573,0.795,0.292,0.333,0.5,0.423,,0.721,0.955,,0.085,24,,0.596,0.43,,0,0
6,Kyrie Irving,31,35,1187,0.493,14.7,,0.641,0.167,0.222,0.169,0.083,0.359,,0.533,0.661,0.562,0.457,0.351,0.421,,0.349,0.721,,0.004,2,,0.17,0.571,,0,0
7,Dereck Lively II,19,39,983,0.734,2.6,,0.991,0.715,0.266,0.005,0.005,0.009,,0.741,0.817,0.544,0.0,1.0,0.0,,0.803,,,0.523,100,,1.0,0.0,,0,0
8,Jaden Hardy,21,52,792,0.409,16.9,,0.501,0.177,0.121,0.124,0.079,0.499,,0.447,0.582,0.326,0.468,0.3,0.37,,0.459,0.814,,0.024,7,,0.254,0.375,,2,0
9,Dwight Powell,32,49,730,0.705,2.2,,0.979,0.832,0.147,0.0,0.0,0.021,,0.71,0.772,0.357,,,0.5,,0.652,1.0,,0.242,18,,1.0,0.5,,0,0
10,Dante Exum,28,32,631,0.571,11.4,,0.68,0.335,0.261,0.054,0.03,0.32,,0.616,0.779,0.434,0.727,0.167,0.477,,0.529,0.968,,0.074,14,,0.354,0.435,,2,0
11,Maxi Kleber,32,21,461,0.457,16.7,,0.424,0.239,0.087,0.065,0.033,0.576,,0.59,0.727,0.25,0.667,0.333,0.358,,0.913,0.947,,0.054,5,,0.358,0.211,,0,0
12,Seth Curry,33,36,457,0.372,19.9,,0.448,0.062,0.076,0.069,0.241,0.552,,0.385,0.778,0.455,0.0,0.371,0.363,,0.48,0.862,,0.0,0,,0.35,0.429,,0,0
13,Olivier-Maxence Prosper,21,31,256,0.352,12.8,,0.535,0.38,0.127,0.028,0.0,0.465,,0.447,0.556,0.222,0.0,,0.242,,0.647,1.0,,0.085,6,,0.485,0.188,,0,0
14,Richaun Holmes,30,23,237,0.559,3.1,,1.0,0.678,0.305,0.017,0.0,0.0,,0.559,0.675,0.333,0.0,,,,0.606,,,0.169,10,,,,,0,0
15,A.J. Lawson,23,27,230,0.464,12.9,,0.524,0.321,0.19,0.012,0.0,0.476,,0.591,0.852,0.188,0.0,,0.325,,0.538,1.0,,0.131,10,,0.65,0.308,,0,0
16,Markieff Morris,34,18,160,0.327,19.8,,0.388,0.061,0.102,0.122,0.102,0.612,,0.316,0.333,0.4,0.333,0.2,0.333,,0.667,1.0,,0.0,0,,0.333,0.5,,0,0
17,P.J. Washington,25,5,149,0.372,14.0,,0.512,0.163,0.349,0.0,0.0,0.488,,0.545,0.571,0.533,,,0.19,,1.0,0.75,,0.093,3,,0.476,0.1,,0,0
18,Daniel Gafford,25,5,101,0.605,2.2,,1.0,0.816,0.158,0.026,0.0,0.0,,0.605,0.71,0.167,0.0,,,,0.652,,,0.368,11,,,,,0,0
19,Brandon Williams,24,12,59,0.364,11.0,,0.727,0.227,0.409,0.045,0.045,0.273,,0.375,0.4,0.444,0.0,0.0,0.333,,0.5,0.5,,0.045,0,,0.0,,,0,0
20,Greg Brown III,22,6,40,0.455,8.5,,0.727,0.636,0.091,0.0,0.0,0.273,,0.5,0.571,0.0,,,0.333,,0.75,1.0,,0.273,2,,0.0,,,0,0
21,Dexter Dennis,24,4,30,0.526,14.3,,0.579,0.316,0.053,0.105,0.105,0.421,,0.818,1.0,1.0,0.5,0.5,0.125,,0.444,1.0,,0.053,1,,0.0,,,0,0
