Rk,Unnamed: 1,Salary
1,Luka Dončić,"$40,064,220"
2,Kyrie Irving,"$37,037,037"
3,Tim Hardaway Jr.,"$17,897,728"
4,P.J. Washington,"$16,847,826"
5,Daniel Gafford,"$12,402,000"
6,Maxi Kleber,"$11,000,000"
7,Dereck Lively II,"$4,775,640"
8,Josh Green,"$4,765,339"
9,Dwight Powell,"$4,000,000"
10,Dante Exum,"$3,000,000"
11,Olivier-Maxence Prosper,"$2,733,720"
12,JaVale McGee,"$2,348,324"
13,Derrick Jones Jr.,"$2,019,706"
14,Markieff Morris,"$2,019,706"
15,Jaden Hardy,"$1,719,864"
