Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1,Luka Dončić,24,49,49,1832,14.8,30.0,0.492,5.0,13.1,0.38,9.8,16.9,0.579,9.3,12.0,0.779,0.9,10.3,11.2,12.1,1.9,0.8,5.0,2.6,43.9,,123,114
2,Tim Hardaway Jr.,31,54,10,1600,9.4,22.9,0.413,5.0,13.9,0.362,4.4,9.0,0.49,3.6,4.2,0.871,0.5,5.3,5.8,2.7,0.9,0.1,1.7,2.5,27.6,,111,120
3,Derrick Jones Jr.,26,52,47,1298,6.5,13.4,0.485,2.3,6.7,0.343,4.2,6.7,0.626,2.5,3.4,0.739,2.2,4.8,6.9,1.9,1.5,1.4,1.8,3.3,17.8,,117,117
4,Grant Williams,25,47,33,1242,5.0,12.2,0.413,3.0,8.1,0.376,2.0,4.1,0.486,1.6,2.1,0.745,1.8,4.7,6.5,3.1,0.9,1.0,2.0,5.3,14.7,,110,119
5,Josh Green,23,44,27,1206,6.0,12.1,0.497,2.6,6.2,0.423,3.4,5.9,0.573,1.3,2.0,0.66,1.1,4.6,5.7,4.5,1.4,0.3,1.9,3.6,16.0,,119,119
6,Kyrie Irving,31,35,35,1187,13.7,27.7,0.493,4.2,10.0,0.421,9.5,17.8,0.533,4.7,5.3,0.885,1.0,6.3,7.3,7.5,1.8,0.6,2.3,2.7,36.2,,123,117
7,Dereck Lively II,19,39,37,983,7.6,10.4,0.734,0.0,0.1,0.0,7.6,10.3,0.741,1.7,3.0,0.548,5.3,9.1,14.4,2.4,1.3,2.7,2.0,5.6,16.9,,137,113
8,Jaden Hardy,21,52,6,792,9.4,22.9,0.409,4.2,11.4,0.37,5.1,11.5,0.447,2.3,3.2,0.717,0.9,5.2,6.1,5.1,1.0,0.2,2.4,3.4,25.2,,106,119
9,Dwight Powell,32,49,8,730,4.4,6.2,0.705,0.1,0.1,0.5,4.3,6.1,0.71,3.9,5.4,0.723,5.3,6.6,11.9,4.9,1.4,1.2,1.8,6.5,12.8,,150,116
10,Dante Exum,28,32,14,631,8.8,15.4,0.571,2.3,4.9,0.477,6.4,10.5,0.616,2.4,3.3,0.727,1.4,5.4,6.7,6.9,1.4,0.4,2.0,3.9,22.4,,132,118
11,Maxi Kleber,32,21,7,461,4.4,9.5,0.457,2.0,5.5,0.358,2.4,4.0,0.59,1.6,2.4,0.652,1.7,5.8,7.5,3.8,0.8,1.6,2.0,4.3,12.2,,114,118
12,Seth Curry,33,36,3,457,5.7,15.2,0.372,3.0,8.4,0.363,2.6,6.8,0.385,1.8,2.0,0.895,1.6,3.9,5.4,3.1,1.8,0.3,1.7,3.3,16.1,,105,119
13,Olivier-Maxence Prosper,21,31,0,256,4.7,13.3,0.352,1.5,6.2,0.242,3.2,7.1,0.447,4.3,6.4,0.676,3.4,8.0,11.4,3.5,0.7,0.6,0.9,3.2,15.1,,113,118
14,Richaun Holmes,30,23,2,237,6.7,11.9,0.559,0.0,0.0,,6.7,11.9,0.559,2.4,4.2,0.571,6.7,9.1,15.7,3.0,0.6,1.8,2.4,6.7,15.7,,121,116
15,A.J. Lawson,23,27,0,230,8.1,17.5,0.464,2.7,8.3,0.325,5.4,9.1,0.591,2.5,4.0,0.632,2.3,4.4,6.7,2.7,1.9,0.6,2.1,4.0,21.4,,111,118
16,Markieff Morris,34,18,1,160,4.8,14.6,0.327,3.0,9.0,0.333,1.8,5.7,0.316,0.9,1.2,0.75,1.2,7.8,9.0,3.3,1.5,0.3,2.7,3.3,13.5,,89,117
17,P.J. Washington,25,5,4,149,5.1,13.8,0.372,1.3,6.7,0.19,3.9,7.1,0.545,1.3,2.6,0.5,1.3,7.7,9.0,2.6,1.3,0.6,3.2,4.2,12.8,,82,117
18,Daniel Gafford,25,5,2,101,10.9,18.0,0.605,0.0,0.0,,10.9,18.0,0.605,5.2,7.1,0.733,8.5,13.3,21.8,2.4,0.9,4.3,2.4,5.7,27.0,,132,110
19,Brandon Williams,24,12,0,59,6.5,17.8,0.364,1.6,4.9,0.333,4.9,13.0,0.375,4.9,8.9,0.545,2.4,3.2,5.7,9.7,0.8,0.8,2.4,1.6,19.5,,107,121
20,Greg Brown III,22,6,0,40,6.0,13.2,0.455,1.2,3.6,0.333,4.8,9.6,0.5,4.8,10.8,0.444,3.6,7.2,10.8,4.8,0.0,4.8,4.8,6.0,17.9,,96,115
21,Dexter Dennis,24,4,0,30,15.9,30.3,0.526,1.6,12.8,0.125,14.3,17.5,0.818,1.6,4.8,0.333,1.6,12.8,14.3,6.4,0.0,1.6,4.8,1.6,35.1,,100,116
