Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Dejounte Murray,27,54,1895,17.0,0.561,0.351,0.191,2.2,14.5,8.1,23.4,1.7,0.7,10.6,25.1,,2.3,0.9,3.1,0.079,,1.5,-0.9,0.7,1.3
2,Trae Young,25,51,1862,20.0,0.581,0.464,0.403,1.2,7.1,4.0,43.9,1.8,0.5,16.0,30.3,,3.8,0.4,4.2,0.109,,4.8,-2.4,2.4,2.1
3,Saddiq Bey,24,56,1826,13.0,0.554,0.517,0.282,8.4,13.3,10.7,5.8,1.2,0.4,6.4,16.5,,2.5,0.5,3.0,0.08,,0.1,-2.0,-1.9,0.1
4,Bogdan Bogdanović,31,55,1599,15.0,0.569,0.597,0.137,2.1,10.5,6.1,13.9,2.0,0.8,7.3,22.5,,2.1,0.7,2.7,0.082,,1.0,-0.7,0.3,1.0
5,Jalen Johnson,22,43,1470,16.0,0.591,0.278,0.216,4.2,24.0,13.7,14.0,1.7,2.4,11.3,18.0,,1.8,1.2,3.0,0.097,,0.2,0.8,0.9,1.1
6,Onyeka Okongwu,23,53,1367,16.6,0.675,0.185,0.328,10.8,18.5,14.5,7.0,0.8,3.8,10.1,13.4,,3.4,0.8,4.1,0.145,,-0.1,-0.6,-0.7,0.4
7,Clint Capela,29,49,1245,20.4,0.587,0.0,0.332,19.3,25.0,22.0,5.3,1.0,5.1,8.3,16.7,,3.0,1.1,4.1,0.158,,0.9,-1.4,-0.4,0.5
8,De'Andre Hunter,26,33,935,13.7,0.624,0.44,0.324,2.3,13.2,7.5,6.7,1.3,1.0,10.5,19.7,,1.3,0.3,1.6,0.083,,-0.4,-1.1,-1.5,0.1
9,Garrison Mathews,27,41,520,6.8,0.654,0.924,0.143,1.8,8.6,5.1,4.3,0.9,0.7,11.8,10.0,,0.4,0.0,0.5,0.043,,-3.1,-1.0,-4.1,-0.3
10,Wesley Matthews,37,21,232,5.5,0.451,0.783,0.413,1.8,11.6,6.5,6.6,2.0,1.5,9.9,10.7,,-0.1,0.1,0.0,0.01,,-5.3,0.1,-5.2,-0.2
11,Trent Forrest,25,20,210,6.9,0.389,0.149,0.213,2.5,11.2,6.7,24.1,1.6,0.4,17.6,12.2,,-0.1,0.1,0.0,-0.007,,-4.9,-0.3,-5.2,-0.2
12,Patty Mills,35,19,202,6.5,0.5,0.667,0.0,2.6,8.3,5.3,8.6,2.1,0.4,13.6,12.0,,-0.1,0.1,0.0,0.005,,-4.3,0.3,-4.0,-0.1
13,Bruno Fernando,25,20,191,16.9,0.564,0.047,0.594,10.8,24.0,17.2,8.0,1.5,4.6,10.0,19.3,,0.2,0.2,0.4,0.107,,-1.9,-0.1,-2.1,0.0
14,AJ Griffin,20,18,132,1.8,0.403,0.733,0.044,1.6,10.2,5.7,3.8,0.4,0.7,11.6,16.1,,-0.3,0.0,-0.3,-0.099,,-5.5,-3.3,-8.8,-0.2
15,Seth Lundy,23,9,52,0.1,0.373,0.765,0.235,2.0,12.9,7.2,0.0,0.0,0.0,5.1,15.6,,-0.1,0.0,-0.1,-0.093,,-7.8,-5.1,-12.9,-0.1
16,Kobe Bufkin,20,6,35,6.4,0.37,0.643,0.143,5.9,16.0,10.8,14.5,1.4,2.5,11.8,19.8,,-0.1,0.0,-0.1,-0.073,,-4.8,-1.5,-6.3,0.0
17,Mouhamed Gueye,21,2,4,-0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,10.2,,0.0,0.0,0.0,-0.112,,-12.7,3.6,-9.0,0.0
18,Vit Krejci,23,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.022,,-8.1,-2.9,-11.0,0.0
