Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1,Dejounte Murray,27,54,54,1895,11.1,23.9,0.467,3.0,8.4,0.36,8.1,15.5,0.524,3.8,4.6,0.825,1.0,6.1,7.1,7.4,1.7,0.4,3.1,2.4,29.1,,115.0,121
2,Trae Young,25,51,51,1862,10.6,25.0,0.426,4.3,11.6,0.371,6.3,13.4,0.473,8.6,10.1,0.856,0.6,3.0,3.6,14.1,1.8,0.3,5.6,2.7,34.2,,118.0,123
3,Saddiq Bey,24,56,44,1826,6.7,15.9,0.422,2.6,8.2,0.323,4.0,7.7,0.529,3.7,4.5,0.831,3.8,5.6,9.5,2.1,1.2,0.2,1.2,2.1,19.7,,122.0,123
4,Bogdan Bogdanović,31,55,9,1599,9.8,22.8,0.429,5.1,13.6,0.373,4.7,9.2,0.513,2.8,3.1,0.914,0.9,4.4,5.4,4.6,2.0,0.4,1.9,3.9,27.5,,117.0,121
5,Jalen Johnson,22,43,40,1470,8.8,16.8,0.521,1.6,4.7,0.345,7.2,12.1,0.589,2.6,3.6,0.726,1.9,10.2,12.1,4.7,1.7,1.3,2.4,3.6,21.8,,119.0,118
6,Onyeka Okongwu,23,53,8,1367,7.4,12.2,0.61,0.8,2.3,0.338,6.7,9.9,0.671,3.2,4.0,0.8,5.0,7.8,12.8,2.5,0.8,2.0,1.6,5.5,18.8,,138.0,120
7,Clint Capela,29,49,49,1245,8.8,15.5,0.565,0.0,0.0,,8.8,15.5,0.565,3.3,5.1,0.652,8.8,10.6,19.4,1.8,1.0,2.8,1.6,4.5,20.9,,130.0,117
8,De'Andre Hunter,26,33,24,935,8.5,17.8,0.474,3.3,7.9,0.419,5.2,10.0,0.518,5.2,5.8,0.904,1.1,5.6,6.6,2.3,1.3,0.6,2.4,4.8,25.4,,120.0,122
9,Garrison Mathews,27,41,4,520,4.3,9.6,0.448,3.8,8.8,0.433,0.5,0.7,0.625,0.9,1.4,0.667,0.8,3.6,4.5,1.6,0.9,0.4,1.4,5.9,13.3,,122.0,124
10,Wesley Matthews,37,21,1,232,2.7,9.4,0.283,1.8,7.4,0.25,0.8,2.0,0.4,2.9,3.9,0.737,0.8,4.9,5.7,2.7,2.0,0.8,1.2,5.7,10.0,,101.0,120
11,Trent Forrest,25,20,0,210,3.4,10.6,0.319,0.5,1.6,0.286,2.9,9.0,0.325,1.8,2.3,0.8,1.1,4.7,5.9,9.5,1.6,0.2,2.5,4.1,9.0,,101.0,122
12,Patty Mills,35,19,0,202,4.5,12.0,0.373,3.0,8.0,0.382,1.4,4.0,0.353,0.0,0.0,,1.2,3.5,4.7,3.3,2.1,0.2,1.9,4.0,12.0,,103.0,122
13,Bruno Fernando,25,20,1,191,8.4,15.9,0.531,0.0,0.7,0.0,8.4,15.1,0.557,5.7,9.4,0.605,5.0,10.2,15.1,2.7,1.5,2.5,2.2,6.9,22.6,,118.0,116
14,AJ Griffin,20,18,0,132,4.7,16.1,0.289,3.2,11.8,0.273,1.4,4.3,0.333,0.7,0.7,1.0,0.7,4.3,5.0,1.4,0.4,0.4,2.2,2.2,13.3,,82.0,125
15,Seth Lundy,23,9,0,52,3.6,15.5,0.235,2.7,11.8,0.231,0.9,3.6,0.25,2.7,3.6,0.75,0.9,5.5,6.4,0.0,0.0,0.0,0.9,5.5,12.8,,83.0,126
16,Kobe Bufkin,20,6,0,35,5.4,18.9,0.286,2.7,12.2,0.222,2.7,6.8,0.4,1.4,2.7,0.5,2.7,6.8,9.5,5.4,1.4,1.4,2.7,2.7,14.9,,88.0,120
17,Mouhamed Gueye,21,2,0,4,0.0,11.8,0.0,0.0,11.8,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,11.8,0.0,0.0,11.8,0.0,,0.0,102
18,Vit Krejci,23,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,129
