Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,57.0,13780,2484,5340,0.465,780,2165,0.36,1704,3175,0.537,1155,1423,0.812,745,1823,2568,1500,431,254,757,1065,6903
Team/G,,241.8,43.6,93.7,0.465,13.7,38.0,0.36,29.9,55.7,0.537,20.3,25.0,0.812,13.1,32.0,45.1,26.3,7.6,4.5,13.3,18.7,121.1
Lg Rank,,13,6,1,23.0,6,6,20.0,12,11,20.0,3,5,6.0,1,24,6,17,13,25,13,10,4
Year/Year,,-0.2%,-2.3%,1.4%,-0.018,27.2%,24.3%,0.008,-11.7%,-9.9%,-0.011,9.8%,10.7%,-0.006,16.5%,-3.5%,1.5%,5.3%,6.9%,-8.9%,2.7%,-0.6%,2.3%
Opponent,57.0,13780,2613,5223,0.5,800,2069,0.387,1813,3154,0.575,1003,1277,0.785,640,1918,2558,1634,444,319,816,1168,7029
Opponent/G,,241.8,45.8,91.6,0.5,14.0,36.3,0.387,31.8,55.3,0.575,17.6,22.4,0.785,11.2,33.6,44.9,28.7,7.8,5.6,14.3,20.5,123.3
Lg Rank,,13,29,25,29.0,27,22,27.0,27,22,29.0,16,18,17.0,25,21,23,28,20,22,7,4,29
Year/Year,,-0.2%,4.7%,1.6%,0.015,17.6%,8.3%,0.03,-0.2%,-2.4%,0.013,-5.3%,-3.3%,-0.017,6.3%,0.3%,1.7%,10.3%,3.7%,10.8%,1.0%,4.2%,4.4%
