Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Dejounte Murray,27,54,1895,35%,65%,,,,-3.4,-3.6,75,37,37,6,81,3,716,23,46
2,Trae Young,25,51,1862,100%,,,,,-2.5,-0.7,161,39,48,7,127,30,1308,29,53
3,Saddiq Bey,24,56,1826,,1%,69%,30%,,-1.3,3.0,18,9,36,2,92,2,197,23,43
4,Bogdan Bogdanović,31,55,1599,,56%,43%,1%,,2.2,10.5,35,17,66,6,46,6,368,12,33
5,Jalen Johnson,22,43,1470,,,1%,94%,6%,-1.9,0.9,39,15,64,7,58,9,352,17,38
6,Onyeka Okongwu,23,53,1367,,,,10%,90%,-0.2,4.2,13,11,108,13,61,0,171,13,25
7,Clint Capela,29,49,1245,,,,,100%,-4.0,-3.2,13,12,61,9,71,13,117,13,45
8,De'Andre Hunter,26,33,935,,,37%,63%,,-2.2,0.2,10,19,38,10,55,18,105,17,14
9,Garrison Mathews,27,41,520,,76%,24%,1%,,-4.6,-2.9,8,3,38,0,8,25,48,3,3
10,Wesley Matthews,37,21,232,,1%,88%,11%,,-5.9,-3.9,2,2,14,2,6,4,33,0,2
11,Trent Forrest,25,20,210,26%,70%,4%,,,-16.2,-15.0,6,4,13,0,2,2,103,0,3
12,Patty Mills,35,19,202,77%,23%,,,,-9.3,-7.6,6,1,9,1,0,3,37,1,1
13,Bruno Fernando,25,20,191,,,,,100%,0.0,2.4,3,3,18,3,17,0,28,3,7
14,AJ Griffin,20,18,132,,6%,64%,28%,2%,-8.6,-6.6,3,2,3,0,1,0,11,0,2
15,Seth Lundy,23,9,52,,,83%,16%,,-8.0,-5.8,0,1,3,0,2,0,0,0,2
16,Kobe Bufkin,20,6,35,64%,36%,,,,-9.2,-7.0,1,0,1,0,0,0,9,0,2
17,Mouhamed Gueye,21,2,4,,,,100%,,-144.4,-142.4,0,0,1,0,0,0,0,0,0
18,Vit Krejci,23,1,2,100%,,,,,-20.0,-17.7,0,0,0,0,0,0,0,0,0
