No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
41,Saddiq Bey,SF,6-7,215,"April 9, 1999",us,3,Villanova
13,Bogdan Bogdanović,SG,6-5,220,"August 18, 1992",rs,6,
5,Dejounte Murray,SG,6-5,180,"September 19, 1996",us,6,Washington
17,Onyeka Okongwu,C,6-8,235,"December 11, 2000",us,3,USC
11,Trae Young,PG,6-1,164,"September 19, 1998",us,5,Oklahoma
15,Clint Capela,C,6-10,240,"May 18, 1994",ch,9,
1,Jalen Johnson,SF,6-9,220,"December 18, 2001",us,2,Duke
25,Garrison Mathews,SG,6-5,215,"October 24, 1996",us,4,Lipscomb
12,De'Andre Hunter,SF,6-8,225,"December 2, 1997",us,4,Virginia
32,Wesley Matthews,SG,6-5,220,"October 14, 1986",us,14,Marquette
24,Bruno Fernando,C,6-9,240,"August 15, 1998",ao,4,Maryland
2,Trent Forrest (TW),SG,6-4,210,"June 12, 1998",us,3,Florida State
8,Patty Mills,PG,6-2,180,"August 11, 1988",au,14,Saint Mary's
14,AJ Griffin,SF,6-6,222,"August 25, 2003",us,1,Duke
3,Seth Lundy (TW),SF,6-6,220,"April 2, 2000",us,R,Penn State
4,Kobe Bufkin,SG,6-4,195,"September 21, 2003",us,R,Michigan
18,Mouhamed Gueye,PF,6-11,210,"November 9, 2002",sn,R,Washington State
27,Vit Krejci (TW),PG,6-8,195,"June 19, 2000",cz,2,
