Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Vince Williams Jr.,34:50,0.506,0.441,0.294,0.235,3.7,7.9,5.7,21.0,1.4,0.0,17.6,29.9,99.0,131.0,-9.8
1,Trey Jemison,32:09,0.6,0.6,0.0,0.0,20.2,4.3,12.4,9.3,0.0,5.1,9.1,15.6,133.0,130.0,-5.5
2,John Konchar,26:09,0.625,0.625,0.75,0.0,5.0,15.7,10.2,24.6,0.0,0.0,0.0,7.0,171.0,133.0,1.3
3,Jacob Gilyard,24:12,1.0,1.0,1.0,0.0,0.0,17.0,8.3,24.0,0.0,3.4,40.0,18.9,108.0,130.0,-0.5
4,Santi Aldama,22:31,0.917,0.917,0.667,0.0,0.0,24.4,11.8,32.8,0.0,0.0,25.0,16.2,140.0,132.0,7.7
6,Luke Kennard,24:21,0.676,0.688,0.625,0.25,0.0,16.9,8.2,23.8,2.1,0.0,0.0,16.7,148.0,128.0,3.7
7,David Roddy,22:40,0.631,0.682,0.455,0.182,5.7,12.1,8.8,22.5,0.0,0.0,20.2,30.0,101.0,134.0,-3.7
8,GG Jackson II,20:50,0.633,0.65,0.6,0.6,0.0,32.9,16.0,7.8,2.4,7.8,7.3,29.9,113.0,118.0,4.6
9,Tosan Evbuomwan,20:30,0.5,0.5,0.5,0.0,0.0,6.7,3.3,12.9,0.0,0.0,0.0,8.9,125.0,134.0,-6.6
10,Derrick Rose,11:48,0.717,0.625,0.25,0.5,0.0,34.9,16.9,24.8,4.3,0.0,38.1,30.5,95.0,121.0,-3.6
11,Matthew Hurt,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
